factor,n,ic_mean,ic_std,ic_ir,t_stat,p_value,pct_positive,p_value_bh,significant_bh,pct_consistent_dir,effective
mf_flow_ratio,76,-0.0157,0.0895,-0.1751,-1.5266,0.131059,0.4605,0.18098623809523812,False,0.5395,False
leverage,106,-0.0111,0.0726,-0.1522,-1.567,0.120134,0.4528,0.1699456585365854,False,0.5472,False
accrual,106,-0.009,0.0623,-0.1438,-1.4807,0.14167,0.4151,0.19108976744186043,False,0.5849,False
sp_ttm,106,0.0135,0.098,0.1377,1.4174,0.159314,0.5094,0.2100048181818182,False,0.5094,False
mom_12_1,106,0.0153,0.1187,0.1292,1.3297,0.186485,0.5377,0.23803578260869565,False,0.5377,False
analyst_rating_chg,106,0.0067,0.0524,0.1285,1.3228,0.188787,0.5283,0.23803578260869565,False,0.5283,False
rsi_6,106,-0.0123,0.097,-0.1267,-1.3046,0.194876,0.5,0.24048527659574467,False,0.5,False
ind_adj_mom,106,0.0145,0.1161,0.1246,1.2829,0.202338,0.5566,0.24449174999999998,False,0.5566,False
share_issuance,106,-0.0073,0.0644,-0.1134,-1.1679,0.245479,0.4906,0.29056697959183675,False,0.5094000000000001,False
float_pct_30d,106,-0.0094,0.0852,-0.1106,-1.1382,0.257612,0.4623,0.29882992,False,0.5377000000000001,False
mom_consistency_6,106,0.0061,0.0742,0.0822,0.8464,0.399231,0.5472,0.4540274117647059,False,0.5472,False
mom_risk_adj,106,0.0066,0.106,0.0625,0.6431,0.521537,0.5566,0.5817143461538462,False,0.5566,False
high_52w,106,0.0077,0.1441,0.0537,0.5527,0.581646,0.566,0.6365182641509434,False,0.566,False
insider_net_buy,106,0.0031,0.0668,0.0465,0.4792,0.632807,0.5,0.6796815925925926,False,0.5,False
mom_6_1,106,0.0045,0.1061,0.0423,0.4355,0.664071,0.5472,0.7002930545454545,False,0.5472,False
ind_adj_mom_6_1,106,0.0042,0.1041,0.0406,0.4181,0.676713,0.5566,0.7008813214285714,False,0.5566,False
large_net_inflow,106,0.0017,0.0828,0.02,0.2062,0.837068,0.5283,0.851753403508772,False,0.5283,False
eps_dispersion,106,-0.0003,0.0652,-0.0052,-0.0538,0.957174,0.5283,0.957174,False,0.5283,False
