,accrual,amihud,analyst_cnt_chg,analyst_eps_revision,analyst_rating_chg,asset_growth,asset_turn,boll_pct,bp,cfp,ep_ttm,ep_vs_history,eps_dispersion,fcfp,float_pct_30d,garp,gross_margin,gross_margin_trend,high_52w,high_52w_v2,hk_hold_chg,hk_hold_ratio,holder_chg,ind_adj_mom,ind_adj_mom_6_1,insider_net_buy,ivol_60d,large_net_inflow,leverage,macd_cross,margin_ratio,max_ret,mf_flow_ratio,mom_12_1,mom_6_1,mom_consistency_6,mom_risk_adj,np_yoy,obv_chg_20d,piotroski_f,pledge_ratio,q_roe,ret_1m,rev_acceleration,rev_yoy,roa,roe,roe_delta,roe_delta_3q,roe_smoothed_4q,roe_stability,rsi_12,rsi_6,share_issuance,short_ratio,sp_ttm,turn_20d,vol_60d
accrual,1.0,-0.011951758270781605,-0.01352443456330233,-0.033975305447451525,-0.010029050433534492,-0.2711303821923605,-0.0272268730233308,-0.013484765237742743,-0.10325265278104254,-0.7405859727981193,0.16412363901781848,0.18256188234120885,0.05032941846090398,-0.32284912499665497,0.004650604059031525,0.18188633712397057,0.07492866578568258,-0.02480469788181613,-0.0027774853647058637,0.005311780601682306,-0.014607735836393413,-0.04121930105019948,-0.03814596861939843,0.018688734901015455,-0.014471335756731861,0.00475552714598914,0.003846257062670019,-0.008612309444950447,-0.12325590170285332,-0.003208321692566654,-0.052491072511359343,0.0010603904089993047,0.01507483723974086,0.01916812211800532,-0.013644335680368217,-0.008000401313960997,0.010494286775944061,0.053119780667783535,-0.01305094067623969,-0.4302686058693819,0.04421195307325008,0.13009776540264312,-0.011343732515322325,-0.007533779400699808,0.10538594109607108,0.15823100542426072,0.16452017359727675,-0.02265563792422869,-0.09649826803986992,0.26152290232988756,0.029009625481158454,-0.01047217582341633,-0.006098022656947428,-0.09851368582456017,-0.048742612960202034,-0.1420168883056905,0.007373135870097069,0.010656148821318788
amihud,-0.011951758270781605,1.0,0.0047473667299292865,-0.005233724701119752,0.00010526930650180257,0.0034126129419546534,-0.007959143744603266,0.07466072287556837,0.039093241238503926,-0.008909459332929602,-0.05853949869509184,-0.053554885772016766,-0.03284283639203846,-0.02618267428535524,-0.0009489961019442023,-0.06582591449745291,-0.017588062389605672,-0.010560737415252652,0.04685153828306445,0.014632740018878904,0.038014533476320896,-0.0009606043337542174,0.12991096468886962,-0.03824460049182822,-0.04169344741340208,0.022702969235640986,-0.18762714634797442,-0.02453561625788819,0.01945781780844355,0.11912157766802206,-0.23943170024223057,-0.07941139906560636,-0.08683845589476659,-0.04254700793037211,-0.043687787809965434,-0.034930911638628256,-0.08186293673736504,-0.0690209147242097,-0.02383450624170995,-0.027691485011644576,0.03152925787134728,-0.04485281229970498,0.04215714492671489,0.013372937625745573,-0.01107644428464951,-0.05424252639339948,-0.06503293650754609,-0.0591703411912135,-0.03903939457246211,-0.030682379649079623,0.008070709975263756,0.07861320602390906,0.0924579146319811,-0.014624010704941594,-0.11875494379329973,0.015010766356287215,-0.6288388877216446,-0.21140878413025846
analyst_cnt_chg,-0.01352443456330233,0.0047473667299292865,1.0,0.09117214279597699,0.034582742614356794,0.001304847525348432,0.01482476771806618,0.05164989873709799,-0.043315139177691406,-0.007325166456009244,-0.03910128594655955,-0.02873191934881476,-0.0033020506040919956,-0.0013363359740973127,-0.0016594792252582044,-0.01907750335630031,-0.0024374975074781145,0.01636028592187506,0.13749013601336985,0.12297715889768025,0.028492713742264936,0.030810970184502486,0.06371660624530728,0.09170321459190806,0.1572036956086151,-0.004182097387662294,0.13139090408029283,0.05736420121408786,0.002723268208486593,-0.027118670266272932,-0.04915639104574415,0.0800816712493274,0.030589423761720313,0.09284569702936685,0.15796331883319065,0.08982994137783192,0.0856285390983623,0.02545798243925345,0.030414224730187258,0.026431498397020366,-0.003500850175695892,0.016598168730096927,0.05982096086245585,0.023283565751315575,0.01653678840923785,0.0013434338494740902,0.0034525384894338205,0.028902953741332102,0.021036756547999767,-0.002455169028106092,0.009238237271932213,0.0518405282856107,0.03377357641244946,0.009212093562396011,0.04207710551062965,-0.01927053124704587,0.06164038984304984,0.10889850580881333
analyst_eps_revision,-0.033975305447451525,-0.005233724701119752,0.09117214279597699,1.0,0.1553005885559771,-0.03972354908473372,0.053112945883012706,0.05409777807655307,-0.07949685657388807,0.031584110248882274,0.014226334429137765,0.0652840262147916,0.06012919097453153,0.03868238934165466,-0.004546534448648946,0.07220574090969545,0.02564690870779549,0.12306755085687703,0.1878726802376042,0.18572178642840867,0.05596301340424389,0.07095646024478076,0.0977915941029497,0.2042382419534339,0.19800119184909823,-0.00199024464902091,0.09117326205316341,0.09816636807530298,0.01129955771860822,-0.01611283897104112,-0.10146764852204111,0.048715884362940554,0.03883152804557053,0.2031560454619952,0.19710107353341166,0.11545553247809555,0.1887083184542959,0.23189099734368598,0.02704974331161852,0.1524006793230171,-0.014439910489271792,0.13515283639078757,0.05630524143081862,0.05276592972918733,0.12182180351252406,0.09044908619372292,0.10853546224785744,0.223270740892052,0.14694390431529183,0.06538333095038423,-0.005093682872389039,0.04916190334271642,0.04524706907247515,0.13103714648961826,0.02322366876113769,-0.024521573188377947,0.04825929446473083,0.06042246106199266
analyst_rating_chg,-0.010029050433534492,0.00010526930650180257,0.034582742614356794,0.1553005885559771,1.0,0.00588014467624946,0.00027536974463097957,0.02792268950397478,-0.012362148428246766,0.004654185648661102,-0.0156857782675084,-0.017339501405756488,-0.0021650885938742544,-0.0011561635182420968,0.0033519452775487985,-0.006097540252508364,-0.006801546840089889,0.007993175272252085,0.06465290675881617,0.05256481716970271,0.008465589144718703,0.006857198189763282,0.032941356719326555,0.028582831471532642,0.0593261513751407,0.01684884635184452,0.05360096661819273,0.026485496701609504,0.004246862282451752,-0.015459565814774253,-0.01828225232421828,0.036410831978111936,0.004820877426742958,0.029928247489274612,0.059170994802743626,0.030976368889705532,0.029933533879154553,0.02953705729543399,0.02443417226428431,0.026426597028418524,-0.005859283188152434,0.008479347453075346,0.036722097088666104,0.026595676213286876,0.020739446704989725,-0.006950436382746915,-0.00147368106870817,0.029987323847648833,0.020539142931787005,-0.006242356191345162,0.0020002246265007125,0.02314181489373548,0.020163232472854304,0.011449446807855361,0.014832543271603002,-0.0032029332835470693,0.02852854926642812,0.04140498157442867
asset_growth,-0.2711303821923605,0.0034126129419546534,0.001304847525348432,-0.03972354908473372,0.00588014467624946,1.0,-0.09135441790770307,-0.012960440895054928,0.16180826626801317,0.15494328167775784,-0.16321273644544046,-0.2188135770959684,0.00553233443278298,0.1896439940860347,-0.028010303194876164,-0.24987121934901385,-0.0959500444591827,-0.014687878343938017,-0.052749513665367474,-0.062201178903494934,-0.015459776873963361,-0.06601031058511266,0.018121005678668485,-0.09453185345869641,-0.031925369532973216,-0.002875146607605367,-0.05982405419616808,-0.04075406017381518,-0.0893582518874665,-0.0005695453518348685,0.16510837949717264,-0.028123440211556907,-0.011179704781066105,-0.09447763532815134,-0.03191475322162421,-0.04330768748688651,-0.10173208895253942,-0.18631609523943238,0.014442859253667506,0.2207082215349765,-0.11048499186734564,-0.2636828143417347,-0.010314328944163372,-0.047878377907978865,-0.35475845828373914,-0.2301749880567657,-0.2774178145822679,-0.04208794510848742,0.06477956686851573,-0.36454326104274737,0.052370996143708264,-0.007762715152470241,-0.017074639553711468,0.25723171521606714,0.09698603523491152,0.0666490360333029,-0.02183140067052449,-0.03597980342963988
asset_turn,-0.0272268730233308,-0.007959143744603266,0.01482476771806618,0.053112945883012706,0.00027536974463097957,-0.09135441790770307,1.0,0.03343938472133823,-0.08386199127475553,0.12061593936614026,0.21926119317408876,0.12979660612481037,0.11747765913352701,0.09227958166256334,0.0037404076065618843,0.3314292870470679,-0.37198039032095637,0.03326204745931952,0.11092802431382323,0.11255967074259104,0.032893430743251066,0.14934401578963014,0.014492813471519216,0.1040427328380506,0.07051025875301485,0.013391023199937036,0.004061970322573431,0.02742718838851273,0.17367677755914984,-0.00011630925481705488,-0.14912879126572032,0.00012482924948009887,0.0014017533794890842,0.10422840326257915,0.0703284559411146,0.05707214998051427,0.09214323811662549,0.1312859243695278,0.0038374567313161478,0.1236550750275069,-0.15559699824942477,0.310593398965741,0.03406171092097135,0.03174697869051634,0.1901788593469643,0.2954336150684119,0.35176759058565304,0.1038815055483779,0.09676903279061638,0.2756336655567842,-0.05524856698637282,0.02981607943454063,0.027402847331149196,-0.021261485864933927,-0.00393313667500433,0.5200907412237507,-0.006711779164958499,-0.02590150931834212
boll_pct,-0.013484765237742743,0.07466072287556837,0.05164989873709799,0.05409777807655307,0.02792268950397478,-0.012960440895054928,0.03343938472133823,1.0,-0.0663068353893325,0.005490272921869197,0.0036872777822673257,-0.030805117683204333,0.015461281142861811,0.016564358937915698,-0.0038190205904647854,0.0406853809173704,0.028915263613644604,0.030101307277657696,0.32963124263865046,0.03419894579523418,0.06830718322893044,0.06244009371177411,0.03244515057418092,-0.0043442684404085075,-0.00971216827061864,0.01592969598029353,0.04162028729909547,0.35126334782366725,-0.023761317543586218,0.6845201387112079,-0.12889290991219035,0.2743851127143015,0.08334242504966081,-0.00329252057298722,-0.008486650855197371,0.00752339057611147,0.00016065580580157314,0.061861262374481016,0.5075511122709283,0.0543988955348908,-0.026791720731654995,0.08783600735931955,0.6808562526371612,0.03431333106693493,0.03886677114035479,0.06403117916307288,0.06682505215193131,0.05748375466915876,0.0523251340355039,0.05237430828120792,0.01144006759039929,0.8111716023859783,0.7484787766540548,0.011152297833469533,0.04859579639717951,-0.03298432377034933,0.0786930147562616,0.015095564015222036
bp,-0.10325265278104254,0.039093241238503926,-0.043315139177691406,-0.07949685657388807,-0.012362148428246766,0.16180826626801317,-0.08386199127475553,-0.0663068353893325,1.0,0.24588605837045047,0.24928178167537973,-0.03242452319451812,0.028777684463796378,-0.046117123223380414,-0.0006004153231627242,-0.042305559417752596,-0.22792257333857893,-0.027285113205647495,-0.11807982810091115,-0.08896195793418388,-0.054613166714633156,-0.07619752325163916,-0.01685282289684583,-0.26230436777851435,-0.16740813125687154,0.03497566835623517,-0.3495136391702086,-0.14335282125569096,0.11483788277676148,0.0004268383689790464,0.13447310595135534,-0.215019099778577,-0.03374487787936691,-0.26300756470165426,-0.16727757711808394,-0.10648490342976726,-0.2781656214775768,-0.15269163420766166,-0.044337904913059535,-0.014500099749005003,-0.076876273620038,-0.2959238319245015,-0.08868494446156916,-0.015051332554177128,-0.1486043584193729,-0.2974539586348563,-0.3144156316776619,-0.07478817228744597,0.005310241536724897,-0.34570509499332547,0.19163709225756198,-0.07184093275440756,-0.042932536744102925,0.09638400518262785,-0.03834363298799056,0.5172142079734706,-0.2124184834391685,-0.3125345232064199
cfp,-0.7405859727981193,-0.008909459332929602,-0.007325166456009244,0.031584110248882274,0.004654185648661102,0.15494328167775784,0.12061593936614026,0.005490272921869197,0.24588605837045047,1.0,0.28562806343593783,0.11674886568064266,0.12803360446531142,0.4079075596778175,-0.0015376973089058746,0.21254694270047925,0.01994234724847746,0.07142177354650434,0.046710836238578766,0.05844635963464278,0.012122285684815217,0.09615068518850672,0.0033637264949007454,-0.01915825252323597,-0.005431000276798053,0.012089120377998556,-0.1286149013425659,-0.021263834880187085,0.091283980475526,0.0016383277502329489,-0.013215025408439475,-0.07776476572547589,-0.01602422153367686,-0.01840159054073229,-0.005276460182208114,-0.001103156246686471,-0.022321020623155444,0.055933568392440895,-0.00981066804418852,0.47090481677641827,-0.0929773614838799,0.09993515693631859,-0.005915986472196595,-0.014490129889444201,-0.04083197919630096,0.09768741698911239,0.09635560671476834,0.0752396909439569,0.04305250021638254,0.06735287814926301,0.00914410064122865,-0.0004167526340445059,0.006050549741933747,0.06521942007564162,0.00016816539168782905,0.27371797840299644,-0.062323432191424506,-0.13561754586523395
