factor,ic_ir,ic_mean,ic_n,p_value_bh,effective_ic,shift_drop,shift_warning,shift_lead_warn,shift_lead_ratio,factor_direction,sharpe_ls,directional_sharpe_ls,dir_flip_valid,valid_stability,icir_lag1,icir_lag2,icir_lag3,ic_decay_pass,final_include,stability_weight
roe_stability,0.3281,0.0192,106,0.0022843076923076923,False,0.028500000000000025,False,False,0.7641,1.0,0.6613390878445926,0.6613390878445926,False,weak,0.3281,0.2996,0.3754,True,False,0.5
margin_ratio,-0.3129,-0.0394,76,0.014836774193548388,True,0.0199,True,False,2.9922,-1.0,-0.4635255369016857,0.4635255369016857,False,weak,-0.3129,-0.3181,-0.3166,True,False,0.5
roe_smoothed_4q,0.305,0.0331,106,0.004382,True,0.0011999999999999789,False,False,0.9121,1.0,0.7173064117205944,0.7173064117205944,True,reverse,0.305,0.3038,0.2351,True,False,0.5
short_ratio,-0.3007,-0.0207,76,0.019187125,True,-0.12639999999999998,True,False,4.4592,-1.0,0.4869239404620217,-0.4869239404620217,False,stable,-0.3007,-0.2895,-0.1694,True,False,0.5
boll_pct,-0.2658,-0.0268,106,0.014086266666666666,False,0.2448,True,False,17.6516,-1.0,-0.2996773890472314,0.2996773890472314,False,stable,-0.2658,0.021,0.1232,False,False,0.5
pledge_ratio,-0.2656,-0.0229,80,0.03129335135135135,False,-0.005199999999999982,False,False,0.814,-1.0,-0.40284251048108843,0.40284251048108843,False,stable,-0.2656,-0.2708,-0.2834,True,False,0.5
asset_turn,0.2479,0.0174,106,0.021308848484848483,False,0.04370000000000002,False,False,1.2989,1.0,0.541171532507393,0.541171532507393,True,warn,0.2479,0.2042,0.1616,True,False,0.5
analyst_cnt_chg,0.2373,0.0143,106,0.027387277777777778,False,0.0126,True,False,3.3906,1.0,0.8622496125186653,0.8622496125186653,False,weak,0.2373,0.2247,0.1766,True,False,0.5
rsi_12,-0.2366,-0.0237,106,0.027387277777777778,False,0.1933,True,False,26.5757,-1.0,-0.3036094039393243,0.3036094039393243,False,stable,-0.2366,0.0433,0.0433,False,False,0.5
fcfp,0.2356,0.0099,106,0.027387277777777778,False,0.0633,False,False,1.3349,1.0,0.19206353940795903,0.19206353940795903,False,weak,0.2356,0.1723,0.1929,True,False,0.5
macd_cross,-0.2201,-0.0203,106,0.03887831578947369,False,0.17049999999999998,True,False,14.4225,-1.0,-0.24797633470122332,0.24797633470122332,True,warn,-0.2201,-0.0496,-0.0376,True,False,1.0
bp,0.2172,0.0262,106,0.04082307692307692,False,0.07350000000000001,True,False,2.8375,1.0,0.22378455676767353,0.22378455676767353,False,stable,0.2172,0.1437,0.1541,True,False,0.5
