,O0
2012-01-04,1.0
2012-01-05,1.0
2012-01-06,1.0
2012-01-09,1.0
2012-01-10,1.0
2012-01-11,1.0
2012-01-12,1.0
2012-01-13,1.0
2012-01-16,1.0
2012-01-17,1.0
2012-01-18,1.0
2012-01-19,1.0
2012-01-20,1.0
2012-01-30,1.0
2012-01-31,1.0
2012-02-01,0.9920610761026712
2012-02-02,1.009710391632159
2012-02-03,1.0255207294717281
2012-02-06,1.0340487733166508
2012-02-07,1.0119824871453367
2012-02-08,1.0378370965185537
2012-02-09,1.046859401079499
2012-02-10,1.0571042080929964
2012-02-13,1.0666867366308619
2012-02-14,1.0716731221390627
2012-02-15,1.0876639260280176
2012-02-16,1.0890857946194048
2012-02-17,1.0830410482566701
2012-02-20,1.0854526221307341
2012-02-21,1.096931483184454
2012-02-22,1.1197504020661813
2012-02-23,1.1266757239346756
2012-02-24,1.1480045341958216
2012-02-27,1.1498091690578292
2012-02-28,1.148792908180377
2012-02-29,1.1274346525567263
2012-03-01,1.133786357593125
2012-03-02,1.1601247779378672
2012-03-05,1.1639196632630504
2012-03-06,1.1500957228105415
2012-03-07,1.143244476099772
2012-03-08,1.1636933669062335
2012-03-09,1.180070035465563
2012-03-12,1.1817766337340052
2012-03-13,1.195175247932199
2012-03-14,1.1469156728320493
2012-03-15,1.1340796631861558
2012-03-16,1.1596608965850337
2012-03-19,1.1737118404720157
2012-03-20,1.1521938739477686
2012-03-21,1.1558867447281869
2012-03-22,1.1504952480603425
2012-03-23,1.1254296871237301
2012-03-26,1.1224971832485389
2012-03-27,1.1204141525438966
2012-03-28,1.0735805068371813
2012-03-29,1.05818007047464
2012-03-30,1.0592398730698893
2012-04-05,1.089161288906423
2012-04-06,1.0942713708135958
2012-04-09,1.0836665960887761
2012-04-10,1.0956121931920833
2012-04-11,1.1000797450361066
2012-04-12,1.1255957145178301
2012-04-13,1.1372402954697716
2012-04-16,1.1426993866116824
2012-04-17,1.1212750919054646
2012-04-18,1.147437246135086
2012-04-19,1.1480736122718116
2012-04-20,1.1586335564925774
2012-04-23,1.1497342111012394
2012-04-24,1.150472466831192
2012-04-25,1.169142527147606
2012-04-26,1.1604206433081945
2012-04-27,1.1466042402641898
2012-05-02,1.1639025762495505
2012-05-03,1.1637637697896797
2012-05-04,1.170522366809521
2012-05-07,1.1755391403539412
2012-05-08,1.1737162990703387
2012-05-09,1.151763737036419
2012-05-10,1.154411077321155
2012-05-11,1.1507584862791824
2012-05-14,1.1493527280298315
2012-05-15,1.1487998576137286
2012-05-16,1.136966648787111
2012-05-17,1.1527022834136067
2012-05-18,1.139333739208612
2012-05-21,1.137989246770414
2012-05-22,1.1531467002890954
2012-05-23,1.1463946225827897
2012-05-24,1.1390581968310856
2012-05-25,1.1279597219712945
2012-05-28,1.148741784316003
2012-05-29,1.1650197993717242
2012-05-30,1.1676846352756345
2012-05-31,1.1660806495814626
2012-06-01,1.165618607290934
2012-06-04,1.1298438298375155
2012-06-05,1.128385233630017
2012-06-06,1.1253740753783448
2012-06-07,1.122264185994646
2012-06-08,1.1202825482091712
2012-06-11,1.138706069033471
2012-06-12,1.1307816823821144
2012-06-13,1.1490691593447944
2012-06-14,1.1427632574423006
2012-06-15,1.1424527936818019
2012-06-18,1.1530535365126742
2012-06-19,1.1442748999944952
2012-06-20,1.1406182237241969
