rebalance_date,fallback_level,solver_status,solve_time_s,cov_available,exante_te,single_dev_max,ind_dev_max
2012-01-31,0,optimal,0.7558781999978237,True,0.038308133534475465,0.00999999999497247,0.020000000009437014
2012-02-29,0,optimal,0.752716999995755,True,0.036723219517613766,0.009999999996695236,0.020000000001525044
2012-03-30,0,optimal,0.7361272999842186,True,0.035180498277344416,0.009999999983247925,0.019999999973331656
2012-04-27,2,topn_fallback,0.0022459999890998006,True,0.03299973333612129,0.010099769975999356,0.05506747234391365
2012-05-31,2,topn_fallback,0.0037832999951206148,True,0.02967410652444383,0.010984621529858199,0.03506254523898818
2012-06-29,0,optimal,2.234248699998716,True,0.031051959773247772,0.01000000000050587,0.020000000006777256
2012-07-31,0,optimal,2.0137923000147566,True,0.03509530358007889,0.00999999997558443,0.020000000054884986
2012-08-31,2,topn_fallback,0.003969400015193969,True,0.03839949072404429,0.01020402442816377,0.04580631431237882
2012-09-28,0,optimal,2.0724444999941625,True,0.034260384995001086,0.009999999979990223,0.020000000080417135
2012-10-31,0,optimal,1.8711485000094399,True,0.033233006383678335,0.009999999960289637,0.020000000072622183
2012-11-30,0,optimal,1.7058142000169028,True,0.02955105651909649,0.009999999995865089,0.020000000018622566
2012-12-31,2,topn_fallback,0.005793900025309995,True,0.03091915338091319,0.010100500854754509,0.061061247415696754
2013-01-31,2,topn_fallback,0.004051299998536706,True,0.03440237316327954,0.010202141387570566,0.07499571200977496
2013-02-28,0,optimal,1.981010099989362,True,0.030790350438625543,0.00999999998904973,0.020000000015952184
2013-03-29,0,optimal,2.1195090000110213,True,0.03528314682061964,0.00999999997805746,0.02000000010562187
2013-04-26,2,topn_fallback,0.003727000002982095,True,0.03763207878073298,0.010198560834066984,0.07231721662279382
2013-05-31,2,topn_fallback,0.0037391000078059733,True,0.043609825066558354,0.01019799060733869,0.042389637442796876
2013-06-28,0,optimal,1.8040829000237864,True,0.041647094720252215,0.009999999991760404,0.020000000099317853
2013-07-31,0,optimal,1.6116121000086423,True,0.049999999701400934,0.0099999999287433,0.02000000045493588
2013-08-30,0,optimal,1.871928900014609,True,0.04999999810921146,0.009999999698998183,0.020000000151511575
2013-09-30,0,optimal,1.760783600009745,True,0.04936096133094535,0.009999999987750299,0.020000000034986726
2013-10-31,0,optimal,1.669266000011703,True,0.04999999815015927,0.00999999985133769,0.02000000081274962
2013-11-29,2,topn_fallback,0.012539700022898614,True,0.05984492870154435,0.010199170071783696,0.07981004052646945
2013-12-31,0,optimal,1.5676781000220217,True,0.04999999965621014,0.009999999932961343,0.019999999941179923
2014-01-30,0,optimal,1.9488144000060856,True,0.049999999976582415,0.009999999994106695,0.02000000001782873
2014-02-28,0,optimal,2.176388499996392,True,0.049999999083477735,0.009999999972456345,0.020000000089013478
2014-03-31,0,optimal,1.8967280999931972,True,0.049459831417747895,0.009999999807717881,0.020000000565028247
2014-04-30,0,optimal,1.8463451999996323,True,0.04866446156467022,0.009999999801796828,0.020000000703183973
2014-05-30,0,optimal,2.2868075000005774,True,0.050002022645911796,0.010000037324547718,0.020008584334923963
2014-06-30,0,optimal,1.9030372000124771,True,0.04909117607116237,0.009999999889382436,0.020000000137505657
2014-07-31,0,optimal,1.662820899975486,True,0.045437230885966635,0.009999999994157627,0.020000000018649464
2014-08-29,0,optimal,1.5734637000132352,True,0.042705718158630356,0.009999999921734908,0.020000000065727292
2014-09-30,2,topn_fallback,0.0011865999840665609,True,0.03901517975169823,0.010395480556550875,0.046084911076280315
2014-10-31,2,topn_fallback,0.0015181000053416938,True,0.03406241883231246,0.010197675106972233,0.03814899478278335
2014-11-28,0,optimal,0.6268558999872766,True,0.0377395253673684,0.009999999997429005,0.020000000003624424
2014-12-31,2,topn_fallback,0.0019663999846670777,True,0.04041433423550836,0.0126,0.044692413346890676
2015-01-30,2,topn_fallback,0.001135500002419576,True,0.040592672154041574,0.011108887109687752,0.05709095231431397
2015-02-27,2,topn_fallback,0.0017546000017318875,True,0.04166140854176339,0.011102220444088817,0.05492356757467624
2015-03-31,2,topn_fallback,0.0011039000237360597,True,0.03883457897676244,0.010498850679054714,0.031562486303822815
2015-04-30,2,topn_fallback,0.00485369999660179,True,0.048221335962799705,0.022413448068841307,0.04433614294780307
2015-05-29,2,topn_fallback,0.002625000022817403,True,0.05357540167711115,0.016779864163004397,0.03742760950490447
2015-06-30,0,optimal,0.8123470999998972,True,0.04847421484516768,0.009999999989016049,0.01999999998027554
2015-07-31,2,topn_fallback,0.0010440999758429825,True,0.07921589047768199,0.010809027187552835,0.03841055495465587
2015-08-31,2,topn_fallback,0.0010856000008061528,True,0.09785703204839227,0.012690380711421059,0.05865368522771189
2015-09-30,2,topn_fallback,0.0011640999873634428,True,0.10418965370990428,0.013648498665146553,0.050798670451925494
2015-10-30,0,optimal,0.7976771000248846,True,0.04999999994669176,0.009999999917461116,0.020000000074134622
2015-11-30,0,optimal,0.6936879999993835,True,0.05000000001052634,0.009999999933034846,0.020000000159034106
2015-12-31,2,topn_fallback,0.0018485999898985028,True,0.09248897661269276,0.010040187570244729,0.04930170698159366
2016-01-29,0,optimal,0.7327779000042938,True,0.0499999998394949,0.009999999892094704,0.020000000100955814
2016-02-29,0,optimal,0.8723786000045948,True,0.04999999984745066,0.009999999906314335,0.01999999976587169
2016-03-31,2,topn_fallback,0.0011109999904874712,True,0.08561120890136874,0.010409869067152307,0.04674486769138644
2016-04-29,2,topn_fallback,0.002279600012116134,True,0.045239283927063126,0.010319739574966904,0.02909239103913448
2016-05-31,2,topn_fallback,0.0011978000111412257,True,0.045625928907707815,0.010299402748002444,0.045144952188307705
2016-06-30,2,topn_fallback,0.0020813000155612826,True,0.052952541410262344,0.010629523664357245,0.047049220550981694
2016-07-29,0,optimal,0.6584271999890916,True,0.04268966027963718,0.009999999874554223,0.02000000013792347
2016-08-31,0,optimal,0.7320687000174075,True,0.04008189119132418,0.009999999941368683,0.019999999907664878
2016-09-30,2,topn_fallback,0.0018470000068191439,True,0.03394043526004576,0.010050069279811306,0.04324092900532975
2016-10-31,2,topn_fallback,0.001153800025349483,True,0.03164442387181591,0.010030230026422235,0.033157765219687246
2016-11-30,2,topn_fallback,0.001808600005460903,True,0.03345112972048223,0.01006016552772119,0.06948986440076738
2016-12-30,2,topn_fallback,0.0015710000006947666,True,0.032484222208769196,0.01003042439143566,0.08989018480474982
2017-01-26,2,topn_fallback,0.0012038000277243555,True,0.03068020753208338,0.010020099923804988,0.08960808207616729
2017-02-28,0,optimal,0.6705459000077099,True,0.029403519638695242,0.009999999983126001,0.020000000083893618
2017-03-31,2,topn_fallback,0.0011323000071570277,True,0.02865911505525413,0.010020132990666257,0.06753956272867223
2017-04-28,0,optimal,0.5779504000092857,True,0.02895990068304777,0.009999999819281544,0.019999999968056775
2017-05-31,2,topn_fallback,0.0011538999970071018,True,0.029626728417915246,0.01010998566661476,0.05098960539769078
2017-06-30,2,topn_fallback,0.0014742999919690192,True,0.03343745563832611,0.010050246791053763,0.056173246755146324
2017-07-31,2,topn_fallback,0.0011455999920144677,True,0.031250226655227795,0.010090132002496721,0.05336344777522227
2017-08-31,0,optimal,0.8207164999912493,True,0.034516778044417926,0.009999999975841868,0.020000000036625953
2017-09-29,2,topn_fallback,0.0023678999859839678,True,0.034238230350163594,0.010689893101068989,0.06791785554690959
2017-10-31,2,topn_fallback,0.0011508000025060028,True,0.03457748471503469,0.010799784004319912,0.058579133143934814
