rebalance_date,fallback_level,solver_status,solve_time_s,cov_available,exante_te,single_dev_max,ind_dev_max
2012-01-31,0,optimal,0.7669686000153888,True,0.047844666081440376,0.019999999965387733,0.039999999966323134
2012-02-29,0,optimal,0.6641782999795396,True,0.051401128555295945,0.01999999983781903,0.039999999842159656
2012-03-30,0,optimal,0.7008745000057388,True,0.04860135991558682,0.019999999934642167,0.03999999998227772
2012-04-27,2,topn_fallback,0.0013761000009253621,True,0.04204471896442735,0.020099769901908336,0.07200720072007201
2012-05-31,2,topn_fallback,0.0011522000131662935,True,0.04272952372161367,0.02020283541142134,0.0424256429559397
2012-06-29,0,optimal,0.7949537999811582,True,0.0423026922451807,0.019999999648252113,0.03999999983149597
2012-07-31,0,optimal,0.7341904999921098,True,0.04943630832268645,0.019999999991981973,0.040000000004283366
2012-08-31,0,optimal,0.8501314999884926,True,0.04747373302123743,0.01999999998238142,0.04000000000115021
2012-09-28,0,optimal,0.7032508999982383,True,0.04629161085689234,0.019999999743132643,0.03999999990879462
2012-10-31,0,optimal,0.9267172999971081,True,0.046728700566630595,0.019999999989855,0.039999999999741145
2012-11-30,0,optimal,0.708756900014123,True,0.043397065957719354,0.019999999857755944,0.040000000120728456
2012-12-31,0,optimal,0.7734459000057541,True,0.04505210045521302,0.019999999557843855,0.03999999997710437
2013-01-31,0,optimal,0.6961933999846224,True,0.04109209094802741,0.019999999947108552,0.040000000034184774
2013-02-28,0,optimal,0.7961616000102367,True,0.03879372490296868,0.019999999909949804,0.03999999998668843
2013-03-29,0,optimal,0.725055600021733,True,0.04359160588035538,0.01999999976656844,0.04000000031942076
2013-04-26,2,topn_fallback,0.0011743000068236142,True,0.0461160698004157,0.0201985605604968,0.09553391963045003
2013-05-31,2,topn_fallback,0.0011557999823708087,True,0.054909699097459304,0.020197990310875734,0.1088158183983537
2013-06-28,0,optimal,0.6357101000030525,True,0.05199331007973169,0.01999999973630758,0.040000000483069544
2013-07-31,0,optimal,0.7421372999961022,True,0.06697902340694685,0.019999999987222752,0.04000000000457261
2013-08-30,0,optimal,0.5999889000086114,True,0.057846896374423806,0.019999999882440254,0.03999999983440372
2013-09-30,0,optimal,0.6751087000011466,True,0.06272525000820346,0.019999999860158234,0.039999999937401144
2013-10-31,0,optimal,0.6367584000108764,True,0.060591162483984,0.01999999996055648,0.04000000005290815
2013-11-29,2,topn_fallback,0.0015247999981511384,True,0.07293202606139855,0.020199170209044662,0.10061006100535225
2013-12-31,0,optimal,0.7322626999812201,True,0.06862914921013902,0.019999999748203053,0.039999999890184844
2014-01-30,0,optimal,0.8302078999986406,True,0.07999999953762646,0.01999999987525019,0.039999999819682504
2014-02-28,0,optimal,0.9374390999728348,True,0.07061868659172624,0.019999999566985505,0.03999999982375694
2014-03-31,0,optimal,0.7999228000117,True,0.06695265555283388,0.019999999687449116,0.04000000021287387
2014-04-30,0,optimal,0.6884946000063792,True,0.05337129640074312,0.019999999993660755,0.04000000000220732
2014-05-30,0,optimal,0.7115095000190195,True,0.06663646551257435,0.01999883184615083,0.04001410868634871
2014-06-30,0,optimal,0.8865297999873292,True,0.06834260883432182,0.01999999999132017,0.03999999999332997
2014-07-31,0,optimal,0.7321293999848422,True,0.06058336407963473,0.019999999908143485,0.0399999998425689
