trade_date,策略月收益,基准月收益,月超额收益,累积超额,时期,滚动12月IR
2021-02,0.010558962595849097,0.002870373296377071,0.007666583343368671,0.007666583343368671,验证期(2021-2022),
2021-03,0.020275784836941924,-0.01719331098311494,0.03812458364272797,0.04608345228402477,验证期(2021-2022),
2021-04,0.04353889496131669,0.03762394282003623,0.005700477694457362,0.052046627670310874,验证期(2021-2022),
2021-05,0.030724849927855402,0.04015014839415665,-0.009061478749825214,0.0425135295098511,验证期(2021-2022),
2021-06,0.04098397306725721,0.017204179227754857,0.023377601395184522,0.06688499525181935,验证期(2021-2022),
2021-07,-0.005486699802613293,-0.0017283595245239924,-0.0037648472877575,0.06286833617109644,验证期(2021-2022),
2021-08,0.08624555642796539,0.07261607198832065,0.01270676880160826,0.07637395838537264,验证期(2021-2022),
2021-09,0.00229220744758174,-0.02075529323851466,0.02353599720984767,0.10170749286668346,验证期(2021-2022),
2021-10,-0.03641231711888049,-0.011390455773384489,-0.02531015555293925,0.07382310484838905,验证期(2021-2022),
2021-11,0.03836153203826087,0.03334299739538382,0.004856601008113026,0.07903823522193076,验证期(2021-2022),
2021-12,0.03007178457450954,0.014769562407757286,0.015079504484194928,0.09530959712857756,验证期(2021-2022),
2022-01,-0.09170190385149257,-0.10583364426700159,0.015804375019147887,0.11262028076366937,验证期(2021-2022),1.9655147085115277
2022-02,0.0431051738895909,0.04145229034371378,0.0015870948301737187,0.11438611465921578,验证期(2021-2022),1.8403794449305906
2022-03,-0.04943538005195669,-0.07709373263978825,0.029968755837949557,0.14778288003863915,验证期(2021-2022),1.8220583024780055
2022-04,-0.09475962617545508,-0.10960581194298835,0.016673722679985348,0.16692069347723826,验证期(2021-2022),2.010376141822235
2022-05,0.07647830312889292,0.07508438651931204,0.001296564834406988,0.1684336818129426,验证期(2021-2022),2.325518508069533
2022-06,0.062449756450404736,0.07867794629619573,-0.015044518061681833,0.15085516018303036,验证期(2021-2022),1.4681740657322204
2022-07,0.0027411287493737113,-0.0206612843723063,0.02389613802481061,0.1783561539373295,验证期(2021-2022),1.94577729908541
2022-08,-0.016028587158346763,-0.021102099488026327,0.005182882021737001,0.1844634348627745,验证期(2021-2022),1.8087730853611246
2022-09,-0.0635446499453114,-0.07151727254695617,0.008586721503710537,0.19463409250926955,验证期(2021-2022),1.603707114074455
2022-10,0.022777751169405835,0.01634194270596545,0.006332325955480389,0.2021989049805677,验证期(2021-2022),2.918223539764582
2022-11,0.05091704800456598,0.06022830139028512,-0.008782309785080433,0.19164082177374397,验证期(2021-2022),2.3514391017308283
