rebalance_date,fallback_level,solver_status,solve_time_s,cov_available,w_prev_source,constraint_compliant,optimizer_mode,requested_topn,n_holdings,n_halt,n_limit_up,n_limit_down
2019-02-28,2,topn_ew_forced,0.003272100002504885,False,target_weight,True,topn_ew,150,151,1,0,0
2019-03-29,2,topn_ew_forced,0.003014200017787516,False,target_weight,True,topn_ew,150,151,2,0,0
2019-04-30,2,topn_ew_forced,0.0026367000536993146,False,target_weight,True,topn_ew,150,150,5,0,0
2019-05-31,2,topn_ew_forced,0.0025052999844774604,False,target_weight,True,topn_ew,150,153,4,0,0
2019-06-28,2,topn_ew_forced,0.0030146000208333135,False,target_weight,True,topn_ew,150,150,1,0,0
2019-07-31,2,topn_ew_forced,0.00400469999294728,False,target_weight,True,topn_ew,150,150,0,0,0
2019-08-30,2,topn_ew_forced,0.003293599933385849,False,target_weight,True,topn_ew,150,150,0,0,0
2019-09-30,2,topn_ew_forced,0.0038853000150993466,False,target_weight,True,topn_ew,150,151,3,0,0
2019-10-31,2,topn_ew_forced,0.004101900034584105,False,target_weight,True,topn_ew,150,151,3,0,0
2019-11-29,2,topn_ew_forced,0.005073399981483817,False,target_weight,True,topn_ew,150,150,1,1,0
2019-12-31,2,topn_ew_forced,0.004663600004278123,False,target_weight,True,topn_ew,150,150,0,3,0
2020-01-23,2,topn_ew_forced,0.004585199989378452,False,target_weight,True,topn_ew,150,150,0,1,3
2020-02-28,2,topn_ew_forced,0.004348200047388673,False,target_weight,True,topn_ew,150,150,0,1,5
2020-03-31,2,topn_ew_forced,0.003914000000804663,False,target_weight,True,topn_ew,150,150,1,1,0
2020-04-30,2,topn_ew_forced,0.003370600054040551,False,target_weight,True,topn_ew,150,150,4,6,0
2020-05-29,2,topn_ew_forced,0.00436340004671365,False,target_weight,True,topn_ew,150,150,2,2,0
2020-06-30,2,topn_ew_forced,0.0034782999427989125,False,target_weight,True,topn_ew,150,151,2,5,0
2020-07-31,2,topn_ew_forced,0.0027416000375524163,False,target_weight,True,topn_ew,150,150,2,3,0
2020-08-31,2,topn_ew_forced,0.003041899995878339,False,target_weight,True,topn_ew,150,150,0,3,1
2020-09-30,2,topn_ew_forced,0.0027311000740155578,False,target_weight,True,topn_ew,150,150,1,0,0
2020-10-30,2,topn_ew_forced,0.002980499994009733,False,target_weight,True,topn_ew,150,151,1,0,0
2020-11-30,2,topn_ew_forced,0.0027058999985456467,False,target_weight,True,topn_ew,150,150,1,0,0
2020-12-31,2,topn_ew_forced,0.002824899973347783,False,target_weight,True,topn_ew,150,150,1,0,0
2021-01-29,2,topn_ew_forced,0.002819000044837594,False,target_weight,True,topn_ew,150,151,2,0,2
2021-02-26,2,topn_ew_forced,0.002863599918782711,False,target_weight,True,topn_ew,150,151,0,1,0
2021-03-31,2,topn_ew_forced,0.002889700001105666,False,target_weight,True,topn_ew,150,150,2,3,1
2021-04-30,2,topn_ew_forced,0.0025560000212863088,False,target_weight,True,topn_ew,150,151,3,0,1
2021-05-31,2,topn_ew_forced,0.0026724000927060843,False,target_weight,True,topn_ew,150,151,0,1,0
2021-06-30,2,topn_ew_forced,0.0033795000053942204,False,target_weight,True,topn_ew,150,150,1,4,0
2021-07-30,2,topn_ew_forced,0.00323419994674623,False,target_weight,True,topn_ew,150,150,0,2,1
2021-08-31,2,topn_ew_forced,0.003068899968639016,False,target_weight,True,topn_ew,150,150,1,2,1
2021-09-30,2,topn_ew_forced,0.002908000024035573,False,target_weight,True,topn_ew,150,150,1,3,0
2021-10-29,2,topn_ew_forced,0.0032019000500440598,False,target_weight,True,topn_ew,150,151,0,0,0
2021-11-30,2,topn_ew_forced,0.004007200011983514,False,target_weight,True,topn_ew,150,150,1,0,0
2021-12-31,2,topn_ew_forced,0.005324100027792156,False,target_weight,True,topn_ew,150,150,1,1,0
2022-01-28,2,topn_ew_forced,0.0059195999056100845,False,target_weight,True,topn_ew,150,150,2,0,0
2022-02-28,2,topn_ew_forced,0.005110099911689758,False,target_weight,True,topn_ew,150,150,2,0,0
2022-03-31,2,topn_ew_forced,0.005469599971547723,False,target_weight,True,topn_ew,150,150,0,0,0
2022-04-29,2,topn_ew_forced,0.004298799904063344,False,target_weight,True,topn_ew,150,150,1,12,0
2022-05-31,2,topn_ew_forced,0.00406130007468164,False,target_weight,True,topn_ew,150,151,3,6,0
2022-06-30,2,topn_ew_forced,0.00469670002348721,False,target_weight,True,topn_ew,150,150,1,0,0
2022-07-29,2,topn_ew_forced,0.004186699981801212,False,target_weight,True,topn_ew,150,150,0,1,0
2022-08-31,2,topn_ew_forced,0.0038554000202566385,False,target_weight,True,topn_ew,150,150,0,1,0
2022-09-30,2,topn_ew_forced,0.0036216999869793653,False,target_weight,True,topn_ew,150,150,1,1,0
2022-10-31,2,topn_ew_forced,0.004447499988600612,False,target_weight,True,topn_ew,150,150,0,3,0
2022-11-30,2,topn_ew_forced,0.004824400064535439,False,target_weight,True,topn_ew,150,150,0,1,0
2022-12-30,2,topn_ew_forced,0.0038262000307440758,False,target_weight,True,topn_ew,150,150,2,0,0
