factor,n,ic_mean,ic_std,ic_ir,t_stat,p_value,pct_positive,p_value_bh,significant_bh,pct_consistent_dir,effective
accrual,106,-0.0093,0.0625,-0.1484,-1.5279,0.129536,0.4245,0.1737678048780488,False,0.5755,False
sp_ttm,106,0.0135,0.098,0.1377,1.4174,0.159314,0.5094,0.2086254761904762,False,0.5094,False
mom_12_1,106,0.0153,0.1187,0.1292,1.3297,0.186485,0.5377,0.23598375,False,0.5377,False
analyst_rating_chg,106,0.0067,0.0524,0.1285,1.3228,0.188787,0.5283,0.23598375,False,0.5283,False
rsi_6,106,-0.0123,0.097,-0.1267,-1.3046,0.194876,0.5,0.23818177777777774,False,0.5,False
ind_adj_mom,106,0.0145,0.1161,0.1246,1.2829,0.202338,0.5566,0.2419258695652174,False,0.5566,False
float_pct_30d,106,-0.0094,0.0852,-0.1106,-1.1382,0.257612,0.4623,0.3014608510638298,False,0.5377000000000001,False
mom_consistency_6,106,0.0061,0.0742,0.0822,0.8464,0.399231,0.5472,0.45745218750000005,False,0.5472,False
mom_risk_adj,106,0.0066,0.106,0.0625,0.6431,0.521537,0.5566,0.5853986734693878,False,0.5566,False
high_52w,106,0.0077,0.1441,0.0537,0.5527,0.581646,0.566,0.6398106,False,0.566,False
insider_net_buy,106,0.0031,0.0668,0.0465,0.4792,0.632807,0.5,0.6824389215686275,False,0.5,False
mom_6_1,106,0.0045,0.1061,0.0423,0.4355,0.664071,0.5472,0.7022493396226416,False,0.5472,False
ind_adj_mom_6_1,106,0.0042,0.1041,0.0406,0.4181,0.676713,0.5566,0.7022493396226416,False,0.5566,False
large_net_inflow,106,0.0017,0.0828,0.02,0.2062,0.837068,0.5283,0.8525692592592593,False,0.5283,False
eps_dispersion,106,-0.0003,0.0652,-0.0052,-0.0538,0.957174,0.5283,0.957174,False,0.5283,False
