variant,period,label,n,ic_mean,ic_std,ic_ir,win_rate,t_stat,p_value
expanding,train,train,82,0.10248105563149652,0.11091228334694149,0.9239829218097378,0.8292682926829268,8.367021218048688,1.418012197770396e-12
expanding,valid,valid,23,0.05761191214034869,0.08053776495526196,0.7153403396822796,0.6521739130434783,3.430651750945505,0.0023897865332191395
rolling_36m,train,train,82,0.10220443971420651,0.11265171481874149,0.907260398819984,0.8292682926829268,8.21559233189511,2.822954724067089e-12
rolling_36m,valid,valid,23,0.01876931422034788,0.07602479670231704,0.24688410932344973,0.6521739130434783,1.1840145940983837,0.2490426309534967
rolling_48m,train,train,82,0.1013576985726809,0.11056359919921026,0.9167366050562226,0.8536585365853658,8.30140302901267,1.911136984182878e-12
rolling_48m,valid,valid,23,0.03253214344372646,0.07369774491646516,0.4414265793424338,0.6521739130434783,2.117007504438547,0.04580176628546313
rolling_60m,train,train,82,0.10256105096894735,0.11060815989681451,0.9272466973921794,0.8414634146341463,8.396575962952143,1.2396132443375344e-12
rolling_60m,valid,valid,23,0.03982295893475698,0.07795611618325411,0.5108381597813799,0.6521739130434783,2.4498937499906015,0.02271297409301134
