fold,val_start,val_end,n_train_obs,alpha,ic_ir
1,2015-01,2015-12,15929,0.1,1.2462349409399267
1,2015-01,2015-12,15929,1.0,1.2462146047706386
1,2015-01,2015-12,15929,10.0,1.2452264149422747
1,2015-01,2015-12,15929,100.0,1.2442595637367104
1,2015-01,2015-12,15929,500.0,1.2312297495583846
1,2015-01,2015-12,15929,2000.0,1.2001319978471925
1,2015-01,2015-12,15929,5000.0,1.1626815081246362
2,2016-01,2016-12,20898,0.1,1.4086052392801622
2,2016-01,2016-12,20898,1.0,1.408567014275019
2,2016-01,2016-12,20898,10.0,1.4092373445202289
2,2016-01,2016-12,20898,100.0,1.4131808856806594
2,2016-01,2016-12,20898,500.0,1.4176726110566664
2,2016-01,2016-12,20898,2000.0,1.4293400058360872
2,2016-01,2016-12,20898,5000.0,1.4337666205150479
3,2017-01,2017-12,21604,0.1,1.0890525390842567
3,2017-01,2017-12,21604,1.0,1.088645722646002
3,2017-01,2017-12,21604,10.0,1.0903225926617754
3,2017-01,2017-12,21604,100.0,1.1146343102168625
3,2017-01,2017-12,21604,500.0,1.1621224080718469
3,2017-01,2017-12,21604,2000.0,1.230515935435169
3,2017-01,2017-12,21604,5000.0,1.2615829050595704
4,2018-01,2018-12,21344,0.1,1.198767468234982
4,2018-01,2018-12,21344,1.0,1.1987226899135706
4,2018-01,2018-12,21344,10.0,1.1991883385759858
4,2018-01,2018-12,21344,100.0,1.1982981013346323
4,2018-01,2018-12,21344,500.0,1.2047709401089337
4,2018-01,2018-12,21344,2000.0,1.2155144678488365
4,2018-01,2018-12,21344,5000.0,1.2101973333515263
5,2019-01,2019-12,21271,0.1,0.3935707954534368
5,2019-01,2019-12,21271,1.0,0.3935685524958175
5,2019-01,2019-12,21271,10.0,0.39367626285769675
5,2019-01,2019-12,21271,100.0,0.39405708408555257
5,2019-01,2019-12,21271,500.0,0.39502857215145176
5,2019-01,2019-12,21271,2000.0,0.3977738173355661
5,2019-01,2019-12,21271,5000.0,0.40413459836964816
