,bench_ret
2012-01-31,0.12381489794799055
2012-02-29,-0.07177247992038045
2012-03-30,0.0881071262948015
2012-04-27,0.012252690586009883
2012-05-31,-0.06781957772165616
2012-06-29,-0.09533168702127401
2012-07-31,-0.005649659737417048
2012-08-31,0.02165682559790646
2012-09-28,-0.009881893021008857
2012-10-31,-0.11356039293487014
2012-11-30,0.17359226429484936
2012-12-31,0.05105503433070727
2013-01-31,0.03953146314755822
2013-02-28,-0.0485423319888166
2013-03-29,-0.02765993328678788
2013-04-26,0.14850544078956324
2013-05-31,-0.16036666956184456
2013-06-28,0.06718848122296105
2013-07-31,0.068271719463238
2013-08-30,0.05453133565795101
2013-09-30,-0.046451439029573126
2013-10-31,0.04822243084656671
2013-11-29,-0.012390413484753539
2013-12-31,0.009920910323087388
2014-01-30,0.02708617593428842
2014-02-28,-0.03512640380055498
2014-03-31,-0.01973865962441526
2014-04-30,0.02264413163484376
2014-05-30,0.030993048679473927
2014-06-30,0.08058617536746987
2014-07-31,0.044077485618898835
2014-08-29,0.1134735998093446
2014-09-30,0.013303185872501195
2014-10-31,0.05132042116594124
2014-11-28,0.01767223437299357
2014-12-31,0.04055500230945846
2015-01-30,0.09123139517243853
2015-02-27,0.20299098117620284
2015-03-31,0.1448328111235934
2015-04-30,0.16989195884972588
2015-05-29,-0.14963682234603448
2015-06-30,-0.1499910341364477
2015-07-31,-0.170459374865001
2015-08-31,-0.016002611917935346
2015-09-30,0.1358713090057565
2015-10-30,0.06926759017615478
2015-11-30,0.03617907190722563
2015-12-31,-0.3035872219389971
2016-01-29,-0.01922343404516936
2016-02-29,0.17037385713783032
2016-03-31,-0.025589730099675113
2016-04-29,-0.0010738988140577277
2016-05-31,0.036016168943410906
2016-06-30,0.006413188865119672
2016-07-29,0.0423506186453967
2016-08-31,-0.013330838280484252
2016-09-30,0.014603312062842455
2016-10-31,0.019151965940094124
2016-11-30,-0.05346854974028268
2016-12-30,-0.004913140557489612
2017-01-26,0.03880989936109483
2017-02-28,0.0007731561420791293
2017-03-31,-0.04114993826477907
2017-04-28,-0.06221816087564715
2017-05-31,0.06188016753601741
2017-06-30,0.02601850559317975
2017-07-31,0.028345737650686407
2017-08-31,0.033606713012548875
2017-09-29,-0.01854171111987849
2017-10-31,-0.04854177117631886
2017-11-30,0.005003298978103315
2017-12-29,-0.014063614152145208
2018-01-31,-0.031920724858059885
2018-02-28,0.02724056315819768
2018-03-30,-0.04456041692220213
2018-04-27,-0.016147759172725977
2018-05-31,-0.0910834525399046
2018-06-29,0.00036180434052641075
2018-07-31,-0.07541571505322743
2018-08-31,-0.015489106435653528
2018-09-28,-0.0889696204364173
2018-10-31,0.053637825081192934
2018-11-30,-0.07081305579518912
2018-12-28,0.004177092549480287
2019-01-31,0.20451034536736912
2019-02-28,0.10802538422482141
2019-03-29,-0.0834599270189704
2019-04-30,-0.03597386047897315
2019-05-31,0.03063250264943164
2019-06-28,-0.030397138858920234
2019-07-31,0.0040508079889493955
2019-08-30,0.01231084065693865
2019-09-30,-0.009045475251332192
2019-10-31,-0.0021741436099346045
2019-11-29,0.0838918910183758
2019-12-31,-0.07735176171013719
2020-01-23,0.1274889298464671
2020-02-28,-0.08780594265166794
2020-03-31,0.05714096732526609
2020-04-30,0.025512993863694256
2020-05-29,0.08688021140616708
2020-06-30,0.13060217424557147
2020-07-31,0.004698434310712522
2020-08-31,-0.05538182006931511
2020-09-30,-0.029160163939467288
2020-10-30,0.030195029749216812
2020-11-30,0.015548301197297262
2020-12-31,-0.008384016170853667
2021-01-29,0.010975274364238044
2021-02-26,-0.02251846903334715
2021-03-31,0.03995439906294752
2021-04-30,0.03596647355093418
2021-05-31,0.02891392220812008
2021-06-30,-0.006015436707606108
2021-07-30,0.07689486869913018
2021-08-31,-0.01302567627044186
2021-09-30,-0.025271274655252855
2021-10-29,0.03417485230063789
2021-11-30,0.015463250015771602
2021-12-31,-0.09792514406302462
2022-01-28,0.030432957813021234
2022-02-28,-0.08445165326121147
2022-03-31,-0.10714297198547067
2022-04-29,0.07409256671700448
2022-05-31,0.08359796250841428
2022-06-30,-0.020069659890313958
2022-07-29,-0.02146205489673799
2022-08-31,-0.06862245356333768
2022-09-30,0.014942217142753006
2022-10-31,0.06837098252640811
2022-11-30,-0.05397407670792548
