,ridge_ic,baseline_ic
2012-01-31,,-0.06014552202402106
2012-02-29,,0.24186155636406112
2012-03-30,,-0.007107312853061148
2012-04-27,,0.11768950311567876
2012-05-31,,0.2849728146474923
2012-06-29,,0.3233380322643389
2012-07-31,,0.04514417070121206
2012-08-31,,0.010628078991213234
2012-09-28,,0.11063667864110213
2012-10-31,,0.09993368102290641
2012-11-30,,-0.04360654454498217
2012-12-31,,0.14066763021968534
2013-01-31,,-0.008164099356787108
2013-02-28,,0.19101909625606991
2013-03-29,,0.123451839272881
2013-04-26,,-0.08813439917995126
2013-05-31,,0.28184752698164267
2013-06-28,,0.059594484810697325
2013-07-31,,0.05168196265340038
2013-08-30,,-0.013840958479218587
2013-09-30,,0.23016585559645145
2013-10-31,,-0.031216719090586237
2013-11-29,,0.24310452432618157
2013-12-31,,0.045974366180045925
2014-01-30,,-0.023567830778391776
2014-02-28,,0.1929592798504346
2014-03-31,0.19943993209588173,0.16367571396676905
2014-04-30,-0.06326068646517168,-0.018726963718443766
2014-05-30,-0.03970442115976162,-0.04520374185080578
2014-06-30,0.015091835589181595,0.008480706707970126
2014-07-31,0.02909657515511219,0.009457324714067657
2014-08-29,0.027508198920056615,-0.012772074478907755
2014-09-30,0.09856723128625332,0.07878893049569942
2014-10-31,0.0918007468175809,0.11336675410726395
2014-11-28,0.006935804173164557,0.03452966901387549
2014-12-31,0.0951346385518033,0.12645700186676434
2015-01-30,-0.043738700892526336,0.015309447217038329
2015-02-27,0.10950432356699698,0.08888468892869149
2015-03-31,0.035967854384913914,0.03529969055715033
2015-04-30,0.16056883096461197,0.15171177648988593
2015-05-29,0.1061013382275466,0.121880056439004
2015-06-30,0.2083182645952972,0.2360436501534975
2015-07-31,0.12767167159031237,0.1623074791483682
2015-08-31,0.07754570860810253,0.0726165349962792
2015-09-30,-0.10848355188764594,-0.0709612472948138
2015-10-30,0.02855654588375611,0.016732935645793885
2015-11-30,0.18895921631906018,0.18664271168713298
2015-12-31,0.2990216575456524,0.30500495990228743
2016-01-29,0.1995132087324907,0.24338819868059608
2016-02-29,-0.049739345308366975,-0.08685977496406704
2016-03-31,0.2565320520502762,0.229207212298603
2016-04-29,0.10079940893465927,0.09747241952681492
2016-05-31,0.06435133042085064,0.05202518272243826
2016-06-30,0.3476859619090959,0.36858960084638537
2016-07-29,0.20745705525439015,0.19538460782009184
2016-08-31,0.1582488213545843,0.1644505448408168
2016-09-30,0.13959299156480745,0.11784702825636918
2016-10-31,0.10796194571489341,0.07460593263483242
2016-11-30,0.060646277659269096,0.05931981914908105
2016-12-30,0.18272426657703145,0.18168661233694652
2017-01-26,0.0004546136773384591,-0.019303959006769025
2017-02-28,0.14375374374742997,0.1957599782512125
2017-03-31,0.12752337332013247,0.14279414145594518
2017-04-28,0.0520559711754657,0.04246665416348076
2017-05-31,0.2024264270400788,0.22623247609254268
2017-06-30,0.1602271310445394,0.21208686450939748
2017-07-31,-0.0162895032584335,0.014668823744978715
2017-08-31,0.07085210544353081,0.05835385085286191
