source_id,rebalance_date,exec_date,n_holdings,top10_weight_sum,top50_weight_sum,active_share,max_single_abs_dev,max_industry_abs_dev,benchmark_weight_corr,largest_active_code,largest_active_dev,largest_industry_dev_code,largest_industry_dev
pipeline_b_frozen_replay,2020-12-31,2021-01-04,79,0.19594259735978942,0.8633265933898613,0.8664919838193439,0.016645455971589306,0.0319781531388454,0.11199591120285614,300115.SZ,0.016645455971589306,801080.SI,0.0319781531388454
pipeline_b_frozen_replay,2021-01-29,2021-02-01,79,0.20253282036098672,0.8803150193471769,0.8578389383444797,0.016761731230278104,0.03012503842771655,0.1728606246435807,002124.SZ,0.016761731230278104,801180.SI,0.03012503842771655
pipeline_b_frozen_replay,2021-02-26,2021-03-01,80,0.20107023065250845,0.8778589105816472,0.8597531790471392,0.016069083959178526,0.03207933697446126,0.1727107189563854,603515.SH,0.016069083959178526,801030.SI,0.03207933697446126
pipeline_b_frozen_replay,2021-03-31,2021-04-01,81,0.20065891385347628,0.8749290468853924,0.8635301166290674,0.016212542319723983,0.030178975505706522,0.16043056431055974,603882.SH,0.016212542319723983,801180.SI,0.030178975505706522
pipeline_b_frozen_replay,2021-04-30,2021-05-06,83,0.1949450574834465,0.8621881512842133,0.8672547920771843,0.016049354857850747,0.030276705188419295,0.1224225404883449,600808.SH,0.016049354857850747,801760.SI,0.030276705188419295
pipeline_b_frozen_replay,2021-05-31,2021-06-01,83,0.19412559866582496,0.8681507279839065,0.862392378099206,0.016851223158566887,0.03062385439009177,0.1344005266026375,000830.SZ,0.016851223158566887,801750.SI,0.03062385439009177
pipeline_b_frozen_replay,2021-06-30,2021-07-01,80,0.19540359611571353,0.8683677953947466,0.8612350840183517,0.015841918832196534,0.031424809559578416,0.15179871005520673,603486.SH,0.015841918832196534,801760.SI,0.031424809559578416
pipeline_b_frozen_replay,2021-07-30,2021-08-02,75,0.20055346917511588,0.8705747754883413,0.8551439404714922,0.016944830867680095,0.03034191447936744,0.14678223281098196,603737.SH,0.016944830867680095,801040.SI,-0.03034191447936744
pipeline_b_frozen_replay,2021-08-31,2021-09-01,78,0.20555333238154005,0.8824290066720307,0.8461963671931685,0.016692661341710647,0.033302905006216514,0.20128890921956033,603444.SH,0.016692661341710647,801050.SI,-0.033302905006216514
pipeline_b_frozen_replay,2021-09-30,2021-10-08,85,0.19893030125831182,0.8714808248151824,0.8628746721051965,0.016244046996301123,0.031521920359184545,0.14469544705229448,600598.SH,0.016244046996301123,801050.SI,-0.031521920359184545
pipeline_b_frozen_replay,2021-10-29,2021-11-01,82,0.21144104290819546,0.88536486766501,0.8465050793841156,0.016345182918824377,0.0305003688103093,0.21266888019612765,000988.SZ,0.016345182918824377,801160.SI,0.0305003688103093
pipeline_b_frozen_replay,2021-11-30,2021-12-01,81,0.2058167690805597,0.8804956041461305,0.8565517674276324,0.015723245878535644,0.0313819745754702,0.18290719299310243,601636.SH,0.015723245878535644,801160.SI,0.0313819745754702
pipeline_b_frozen_replay,2021-12-31,2022-01-04,86,0.19007527438832583,0.8675762513089732,0.8572770241327539,0.015846389924345186,0.03192605995906957,0.13128397475996645,600373.SH,0.015846389924345186,801760.SI,0.03192605995906957
pipeline_b_frozen_replay,2022-01-28,2022-02-07,86,0.1948798050645308,0.8690162098002852,0.8553454544312022,0.01608424954798576,0.031029956255173307,0.14117283022526678,601866.SH,0.01608424954798576,801180.SI,0.031029956255173307
