source_id,month_end,strategy_col,benchmark_col,nav_path,strategy_month_return,benchmark_month_return,monthly_excess_return,is_positive_excess
pipeline_b_ridge_expanding_lam0050,2021-02-28,strategy,benchmark,experiments/turnover_lambda_grid/results/lam_0050/backtest_nav_valid.parquet,0.0019875016440029647,0.002870373296377071,-0.0008828716523741065,False
pipeline_b_ridge_expanding_lam0050,2021-03-31,strategy,benchmark,experiments/turnover_lambda_grid/results/lam_0050/backtest_nav_valid.parquet,0.011622458894581023,-0.01719331098311494,0.028815769877695963,True
pipeline_b_ridge_expanding_lam0050,2021-04-30,strategy,benchmark,experiments/turnover_lambda_grid/results/lam_0050/backtest_nav_valid.parquet,0.03602197731487933,0.03762394282003623,-0.0016019655051568993,False
pipeline_b_ridge_expanding_lam0050,2021-05-31,strategy,benchmark,experiments/turnover_lambda_grid/results/lam_0050/backtest_nav_valid.parquet,0.0167896855520977,0.04015014839415665,-0.02336046284205895,False
pipeline_b_ridge_expanding_lam0050,2021-06-30,strategy,benchmark,experiments/turnover_lambda_grid/results/lam_0050/backtest_nav_valid.parquet,0.04070242900411403,0.017204179227754857,0.02349824977635917,True
pipeline_b_ridge_expanding_lam0050,2021-07-31,strategy,benchmark,experiments/turnover_lambda_grid/results/lam_0050/backtest_nav_valid.parquet,-0.007923166110280322,-0.0017283595245239924,-0.0061948065857563295,False
pipeline_b_ridge_expanding_lam0050,2021-08-31,strategy,benchmark,experiments/turnover_lambda_grid/results/lam_0050/backtest_nav_valid.parquet,0.061703996078998236,0.07261607198832065,-0.010912075909322416,False
pipeline_b_ridge_expanding_lam0050,2021-09-30,strategy,benchmark,experiments/turnover_lambda_grid/results/lam_0050/backtest_nav_valid.parquet,-7.380241375665175e-05,-0.02075529323851466,0.02068149082475801,True
pipeline_b_ridge_expanding_lam0050,2021-10-31,strategy,benchmark,experiments/turnover_lambda_grid/results/lam_0050/backtest_nav_valid.parquet,-0.028705930761695808,-0.011390455773384489,-0.01731547498831132,False
pipeline_b_ridge_expanding_lam0050,2021-11-30,strategy,benchmark,experiments/turnover_lambda_grid/results/lam_0050/backtest_nav_valid.parquet,0.030969169529628582,0.03334299739538382,-0.0023738278657552403,False
pipeline_b_ridge_expanding_lam0050,2021-12-31,strategy,benchmark,experiments/turnover_lambda_grid/results/lam_0050/backtest_nav_valid.parquet,0.010553746110219198,0.014769562407757286,-0.004215816297538089,False
pipeline_b_ridge_expanding_lam0050,2022-01-31,strategy,benchmark,experiments/turnover_lambda_grid/results/lam_0050/backtest_nav_valid.parquet,-0.08262688749037816,-0.10583364426700159,0.023206756776623427,True
pipeline_b_ridge_expanding_lam0050,2022-02-28,strategy,benchmark,experiments/turnover_lambda_grid/results/lam_0050/backtest_nav_valid.parquet,0.05267375700639865,0.04145229034371378,0.011221466662684865,True
pipeline_b_ridge_expanding_lam0050,2022-03-31,strategy,benchmark,experiments/turnover_lambda_grid/results/lam_0050/backtest_nav_valid.parquet,-0.08189689468160832,-0.07709373263978825,-0.004803162041820075,False
pipeline_b_ridge_expanding_lam0050,2022-04-30,strategy,benchmark,experiments/turnover_lambda_grid/results/lam_0050/backtest_nav_valid.parquet,-0.09650241819875849,-0.10960581194298835,0.013103393744229863,True
pipeline_b_ridge_expanding_lam0050,2022-05-31,strategy,benchmark,experiments/turnover_lambda_grid/results/lam_0050/backtest_nav_valid.parquet,0.0722891709625697,0.07508438651931204,-0.0027952155567423365,False
pipeline_b_ridge_expanding_lam0050,2022-06-30,strategy,benchmark,experiments/turnover_lambda_grid/results/lam_0050/backtest_nav_valid.parquet,0.06767788850546497,0.07867794629619573,-0.011000057790730766,False
pipeline_b_ridge_expanding_lam0050,2022-07-31,strategy,benchmark,experiments/turnover_lambda_grid/results/lam_0050/backtest_nav_valid.parquet,0.0010340636245269597,-0.0206612843723063,0.02169534799683326,True
pipeline_b_ridge_expanding_lam0050,2022-08-31,strategy,benchmark,experiments/turnover_lambda_grid/results/lam_0050/backtest_nav_valid.parquet,-0.02418247606035917,-0.021102099488026327,-0.0030803765723328436,False
pipeline_b_ridge_expanding_lam0050,2022-09-30,strategy,benchmark,experiments/turnover_lambda_grid/results/lam_0050/backtest_nav_valid.parquet,-0.06666307764554036,-0.07151727254695617,0.004854194901415809,True
pipeline_b_ridge_expanding_lam0050,2022-10-31,strategy,benchmark,experiments/turnover_lambda_grid/results/lam_0050/backtest_nav_valid.parquet,-0.0007267494576749245,0.01634194270596545,-0.017068692163640375,False
pipeline_b_ridge_expanding_lam0050,2022-11-30,strategy,benchmark,experiments/turnover_lambda_grid/results/lam_0050/backtest_nav_valid.parquet,0.04382442049240787,0.06022830139028512,-0.016403880897877254,False
pipeline_b_ridge_expanding_lam0050,2022-12-31,strategy,benchmark,experiments/turnover_lambda_grid/results/lam_0050/backtest_nav_valid.parquet,-0.03641097678196925,-0.04726004722409294,0.010849070442123687,True
rolling_48m,2021-02-28,strategy,benchmark,experiments/ridge_rolling/results/rolling_48m/backtest_nav_valid.parquet,-0.011713338386847405,0.002870373296377071,-0.014583711683224476,False
rolling_48m,2021-03-31,strategy,benchmark,experiments/ridge_rolling/results/rolling_48m/backtest_nav_valid.parquet,-0.0005851568966405152,-0.01719331098311494,0.016608154086474425,True
rolling_48m,2021-04-30,strategy,benchmark,experiments/ridge_rolling/results/rolling_48m/backtest_nav_valid.parquet,0.060391590832233,0.03762394282003623,0.022767648012196773,True
rolling_48m,2021-05-31,strategy,benchmark,experiments/ridge_rolling/results/rolling_48m/backtest_nav_valid.parquet,0.0210693200716916,0.04015014839415665,-0.01908082832246505,False
rolling_48m,2021-06-30,strategy,benchmark,experiments/ridge_rolling/results/rolling_48m/backtest_nav_valid.parquet,0.05445258582640733,0.017204179227754857,0.03724840659865247,True
rolling_48m,2021-07-31,strategy,benchmark,experiments/ridge_rolling/results/rolling_48m/backtest_nav_valid.parquet,-0.014134184508100334,-0.0017283595245239924,-0.012405824983576341,False
rolling_48m,2021-08-31,strategy,benchmark,experiments/ridge_rolling/results/rolling_48m/backtest_nav_valid.parquet,0.07366876813769707,0.07261607198832065,0.0010526961493764198,True
