period_start,industry_code,W_p,W_b,R_p,R_b,allocation_effect,selection_effect,interaction_effect,total_effect,industry_name,is_financial,source_id,effect_residual
2020-12-31,801010.SI,0.037593120280583786,0.02770861456927154,0.023573759696434465,0.012309981489099063,0.00019111316927423867,0.000312103688940817,0.00011133688002136121,0.000545118651297326,农林牧渔,False,pipeline_b_frozen_replay,-6.943508693909087e-05
2020-12-31,801030.SI,0.0698884705574405,0.08529573521323934,0.20377450117959378,0.07283370022943093,-0.0012303985715700172,0.01116869188645457,-0.002017439574481435,0.008029084216677175,基础化工,False,pipeline_b_frozen_replay,0.00010823047627405921
2020-12-31,801040.SI,0.016497311688156643,0.025498725063746813,-0.016296986432585592,-0.05233806764466429,0.0004078849003066505,0.0009190016208269655,-0.0003244206704931368,0.0010656975324830529,钢铁,False,pipeline_b_frozen_replay,6.323168184257369e-05
2020-12-31,801050.SI,0.03391654237553436,0.05113744312784361,-0.08699695103377247,0.04670381853793133,-0.0009252524394063902,-0.006837115500121926,0.002302447683301679,-0.005338949640615823,有色金属,False,pipeline_b_frozen_replay,0.00012097061561081382
2020-12-31,801080.SI,0.10506449882156127,0.07308634568271587,0.01402428303974648,-0.039491644137029,-0.0010382348537435037,0.0039112835531728615,0.0017113405146262249,0.004359754223880387,电子,False,pipeline_b_frozen_replay,-0.00022463499017519577
2020-12-31,801110.SI,0.015676126439372273,0.010469476526173692,-0.05582065387790347,0.02516604636063004,0.00016760563052074933,-0.0008478883570795919,-0.00042166939576720005,-0.001138526959747666,家用电器,False,pipeline_b_frozen_replay,-3.657483742162352e-05
2020-12-31,801120.SI,0.07399558649850915,0.045097745112744364,-0.035026827622119554,0.037233651707693036,0.0012789690725464515,-0.0032587846785406206,-0.002088171870132259,-0.004270984387411157,食品饮料,False,pipeline_b_frozen_replay,-0.00020299691128472866
2020-12-31,801130.SI,0.0,0.004829758512074396,0.0,-0.0797172943024296,0.00035108796943021707,0.0003850152807166991,-0.0003850152807166991,0.0003850152807166991,纺织服饰,False,pipeline_b_frozen_replay,3.392731128648205e-05
2020-12-31,801140.SI,0.0,0.023088845557722115,0.0,0.08436542433825142,-0.0021100910640558944,-0.0019479002529575776,0.0019479002529575776,-0.0019479002529575776,轻工制造,False,pipeline_b_frozen_replay,0.0001621908110983172
2020-12-31,801150.SI,0.1240542535309735,0.1104744762761862,0.0291259120516483,-0.01541051117869234,-0.00011387827266922492,0.004920138031586455,0.0006047947071929607,0.005315661429590364,医药生物,False,pipeline_b_frozen_replay,-9.539303651982627e-05
2020-12-31,801160.SI,0.017412776818629436,0.02851857407129644,0.020190826090763947,-0.049697600366827736,0.0004739172541630241,0.0019931182666571823,-0.0007761666945459416,0.0017688830457292988,公用事业,False,pipeline_b_frozen_replay,7.801421945503374e-05
2020-12-31,801170.SI,0.03228477247552673,0.026218689065546724,0.024785858385657923,-0.03266546716786493,-0.00015553940075708857,0.0015062984410913146,0.0003485045328215855,0.001656651525446668,交通运输,False,pipeline_b_frozen_replay,-4.261204770914331e-05
2020-12-31,801180.SI,0.04690545714766701,0.030318484075796213,-0.07615819623007496,-0.045533727708785235,-0.0006387492130321573,-0.0009284874611924448,-0.0005079672347029874,-0.0021917214112629497,房地产,False,pipeline_b_frozen_replay,-0.00011651750233536038
2020-12-31,801200.SI,0.04691265151959757,0.018189090545472728,-0.03823150262412763,-0.016175755274498584,-0.00026285263866765576,-0.0004011739855904729,-0.0006335196038269624,-0.001499318882347017,商贸零售,False,pipeline_b_frozen_replay,-0.0002017726542619259
2020-12-31,801210.SI,0.0,0.004789760511974401,0.0,0.019441302991449087,-0.0001267655251342134,-9.311918536977263e-05,9.311918536977263e-05,-9.311918536977263e-05,社会服务,False,pipeline_b_frozen_replay,3.3646339764440753e-05
2020-12-31,801230.SI,0.0,0.013429328533573322,0.0,0.007478050831701553,-0.0001947613899350341,-0.00010042520140968137,0.00010042520140968137,-0.00010042520140968137,综合,False,pipeline_b_frozen_replay,9.433618852535276e-05
2020-12-31,801710.SI,0.016716025340134978,0.021388930553472327,0.1358008186847277,-0.010545052260208264,1.6450556236381076e-05,0.0031301816704286593,-0.0006838603832889863,0.002495597316821315,建筑材料,False,pipeline_b_frozen_replay,3.282547344526064e-05
2020-12-31,801720.SI,0.01684131731011942,0.012769361531923405,0.028798722060189963,0.0010371201285730035,3.282712774685295e-05,0.0003544979317701601,0.00011304401539742538,0.0004717650544678117,建筑装饰,False,pipeline_b_frozen_replay,-2.860402044662676e-05
2020-12-31,801730.SI,0.08864673290085244,0.06234688265586721,0.0627693578816424,0.13712480465313664,0.003791108787956306,-0.004635830314686932,-0.0019555371149892697,-0.002985005602425853,电力设备,False,pipeline_b_frozen_replay,-0.00018474696070595702
2020-12-31,801740.SI,0.013653624303087114,0.04360781960901955,-0.10328337615657024,-0.11415810310543431,0.0032090966996644187,0.000474223131083408,-0.00032574369492496114,0.003567993552333398,国防军工,False,pipeline_b_frozen_replay,0.00021041741651053273
2020-12-31,801750.SI,0.018077353588799583,0.04837758112094395,-0.10995657331728911,-0.047072315544206905,0.0012134537033804788,-0.003042188281647635,0.001905407318714409,0.00028952090852113997,计算机,False,pipeline_b_frozen_replay,0.0002128481680738869
2020-12-31,801760.SI,0.03187687950636149,0.03455827208639568,-0.027395692446234906,0.004639842165595609,-3.127705395910948e-05,-0.0011070927215487852,8.589984480559088e-05,-0.0010336341150985523,传媒,False,pipeline_b_frozen_replay,1.8835815603751452e-05
2020-12-31,801770.SI,0.030578492903106727,0.016769161541922904,-0.074724427525252,-0.09304619020947333,-0.0011879001011891937,0.0003072405981844824,0.00025301129202738506,-0.000724653782286488,通信,False,pipeline_b_frozen_replay,-9.70055713091617e-05
2020-12-31,801780.SI,0.0,0.019039048047597623,0.0,-0.04112664511948259,0.0006492697279746859,0.0007830121724663252,-0.0007830121724663252,0.0007830121724663252,银行,True,pipeline_b_frozen_replay,0.0001337424444916393
2020-12-31,801790.SI,0.011736374208141739,0.04216789160541973,-0.17804380740016526,-0.17404002354588705,0.0050825315723436746,-0.00016883112357873336,0.00012184121801640819,0.005249312098797007,非银金融,True,pipeline_b_frozen_replay,0.0002137704320156579
2020-12-31,801880.SI,0.06754378058182398,0.03888805559722014,0.01889838954982491,-0.06776281727821419,-0.00174049652520014,0.003370085829250978,0.0024833397096981607,0.003911632882842672,汽车,False,pipeline_b_frozen_replay,-0.0002012961309063267
2020-12-31,801890.SI,0.015711755007462892,0.03752812359382031,-0.06149854924292597,0.06635081784867844,-0.0016007860175939392,-0.004797946849605433,0.0027892089160029563,-0.0034562718317955082,机械设备,False,pipeline_b_frozen_replay,0.00015325211940090755
2020-12-31,801950.SI,0.01634509902320631,0.010549472526373681,-0.10547316629606429,-0.16234022403440004,-0.0009001511184580736,0.0005999174632662789,0.00032958022662520965,-1.1365614024025578e-05,煤炭,False,pipeline_b_frozen_replay,-4.0712185457440514e-05
2020-12-31,801960.SI,0.03143844430587448,0.010149492525373734,-0.1194610838425947,0.12591774369153708,0.0028302039803558224,-0.0024904705759426406,-0.00522385802732994,-0.0050336718295139965,石油石化,False,pipeline_b_frozen_replay,-0.00014954720659723832
2020-12-31,801970.SI,0.0,0.0035898205089745514,0.0,-0.08446312778775047,0.00027799027428140194,0.00030320746838460497,-0.00030320746838460497,0.00030320746838460497,环保,False,pipeline_b_frozen_replay,2.5217194103203033e-05
2020-12-31,801980.SI,0.0,0.004469776511174441,0.0,0.06190461817315806,-0.00030809837583171506,-0.00027669980824360436,0.00027669980824360436,-0.00027669980824360436,美容护理,False,pipeline_b_frozen_replay,3.139856758811071e-05
2020-12-31,999999.SI,0.02060206013715709,0.015649217539123045,0.012755968434721598,-0.04774306712007578,-0.0002016719640034457,0.0009467625683041639,0.00029964220043577673,0.0010099408721468306,未分类,False,pipeline_b_frozen_replay,-3.479193258966429e-05
2021-01-29,801010.SI,0.05545033337129461,0.028024483917426787,0.06230652473560196,0.03480853844730913,0.000833487964458626,0.0007706168744978849,0.000754155632227241,0.002479426241890196,农林牧渔,False,pipeline_b_frozen_replay,0.00012116577070644431
2021-01-29,801030.SI,0.06316504343893456,0.09264482317170747,0.05819626940889988,0.023083490718450582,-0.0005502563093993007,0.0032530171728439735,-0.0010351169816000478,0.001537403969400495,基础化工,False,pipeline_b_frozen_replay,-0.0001302399124441301
2021-01-29,801040.SI,0.016308886202568436,0.024153864618338933,0.024861878453038555,0.0712394521354566,-0.0005242133165873416,-0.0011201976360521641,0.0003638310645143754,-0.0013152385358917611,钢铁,False,pipeline_b_frozen_replay,-3.465864776663083e-05
2021-01-29,801050.SI,0.05275697325993866,0.054048647783645376,0.14016686834772168,0.13044907701594693,-0.00016279120824759212,0.0005252334809260555,-1.2552223489951408e-05,0.00034418350801355014,有色金属,False,pipeline_b_frozen_replay,-5.706541174961847e-06
2021-01-29,801080.SI,0.05059250993014728,0.07039126260201632,0.027324123275363106,-0.015791273834632632,0.0004001172360567854,0.0030349472401599254,-0.0008536310837302228,0.0024939636814553514,电子,False,pipeline_b_frozen_replay,-8.746971103113649e-05
