source_id,comparison,old_path,new_path,old_shape,new_shape,aligned_shape,max_abs_diff,mean_abs_diff,nonzero_cells_gt_1e_10,dates_with_diff_gt_1e_10
pipeline_b_lam0050,existing_weights_current_engine_actual_weights_vs_existing_actual_weights,experiments/turnover_lambda_grid/results/lam_0050/actual_weights_v2.parquet,check/0526/tmp/stage2/pipeline_b_lam0050_replayed/actual_weights_valid.parquet,485x383,485x383,485x383,2.0816681711721685e-17,4.48711584569416e-19,0,0
pipeline_b_lam0050,rebuilt_expanding_current_optimizer_vs_existing_target_weights,experiments/turnover_lambda_grid/results/lam_0050/weights_optimized.parquet,check/0526/tmp/stage2/expanding_rebuilt_current_code/weights_optimized.parquet,144x1358,144x1358,144x1358,0.028572171361345527,0.0002063117284984615,8769,106
pipeline_b_lam0050,rebuilt_expanding_current_optimizer_meta_numeric_vs_existing_meta,experiments/turnover_lambda_grid/results/lam_0050/weights_meta.parquet,check/0526/tmp/stage2/expanding_rebuilt_current_code/weights_meta.parquet,144x2,144x2,144x2,0.8465082999900915,0.10671308993106424,144,144
