source_id,ts_code,industry_code,industry_name,strategy_contribution_sum,benchmark_contribution_sum,active_contribution_sum,avg_strategy_weight_when_held,n_periods_held,avg_stock_period_return,rolling_minus_pipeline_b_active_contribution
pipeline_b_frozen_replay,000008.SZ,801890.SI,机械设备,0.0,-0.00011049444109729488,0.00011049444109729488,0.0,0,-0.022159342476302784,0.0
pipeline_b_frozen_replay,000009.SZ,801230.SI,电力设备,0.0,0.002728198694086167,-0.002728198694086167,0.0,0,0.08518318297677581,0.0
pipeline_b_frozen_replay,000009.SZ,801730.SI,电力设备,0.0,-0.0008714700380757423,0.0008714700380757423,0.0,0,-0.006580078541267492,0.0
pipeline_b_frozen_replay,000012.SZ,801710.SI,建筑材料,0.003380025943549309,8.042650561232011e-05,0.003299599437936989,0.017167440201204243,4,0.005993299592583615,0.00098678915918943
pipeline_b_frozen_replay,000021.SZ,801080.SI,电子,0.0,-0.0011780665283425535,0.0011780665283425535,0.0,0,-0.020158638855935943,0.0
pipeline_b_frozen_replay,000027.SZ,801160.SI,公用事业,0.0,0.00010750485664368597,-0.00010750485664368597,0.0,0,0.022147552026034894,0.0
pipeline_b_frozen_replay,000028.SZ,801150.SI,医药生物,0.0002385123041738319,-0.0003030310686767424,0.0005415433728505743,0.008023169445537432,2,-0.010796130140266836,-0.00023851230417383192
pipeline_b_frozen_replay,000031.SZ,801180.SI,房地产,0.0009527478932803285,-0.00011244961413528907,0.0010651975074156177,0.01351065364291552,4,0.0003392204664330323,0.003956716826606778
pipeline_b_frozen_replay,000039.SZ,801890.SI,机械设备,-0.0034790831561305672,-0.0007921565448510961,-0.002686926611279471,0.01781648496084666,13,-0.010765962672058487,0.0032448419912243617
pipeline_b_frozen_replay,000046.SZ,801180.SI,房地产,0.0,-0.00010632334780835761,0.00010632334780835761,0.0,0,-0.02333416693556419,-0.00014599962786986334
pipeline_b_frozen_replay,000046.SZ,801790.SI,房地产,-1.541487750343533e-05,-0.0003463920551449678,0.0003309771776415325,1.746429086097435e-05,8,-0.04024798835070895,-0.00012154469822353282
pipeline_b_frozen_replay,000050.SZ,801080.SI,电子,0.0,-0.0011206654127097163,0.0011206654127097163,0.0,0,-0.020216643628850926,0.0
pipeline_b_frozen_replay,000060.SZ,801050.SI,有色金属,-0.0016357501761809978,-0.00028675044015739036,-0.0013489997360236075,0.0168764544949844,4,-0.004318330611285638,0.001972632444498785
pipeline_b_frozen_replay,000061.SZ,801200.SI,商贸零售,-0.0026458542993813092,-5.2751003840192674e-05,-0.002593103295541117,0.015925177521219507,4,0.0009607804398029477,3.3540823536921255e-06
pipeline_b_frozen_replay,000062.SZ,801080.SI,电子,-0.0015973645241529459,-1.7679339203236467e-05,-0.0015796851849497094,0.00790565197536992,2,0.0010782688177874793,0.0015973645241529459
pipeline_b_frozen_replay,000078.SZ,801150.SI,医药生物,0.0,-6.839862473513096e-05,6.839862473513096e-05,0.0,0,-0.0021891599943229165,0.0
pipeline_b_frozen_replay,000089.SZ,801170.SI,交通运输,-0.00016749011528441454,-2.7949227265351455e-05,-0.00013954088801906305,0.01643496756228336,1,0.0008096600528576294,4.176256349515937e-07
pipeline_b_frozen_replay,000090.SZ,801180.SI,房地产,0.004576364238069987,0.00026643792097765613,0.00430992631709233,0.015768935683820713,6,0.013745407300284625,-0.0017688869085750814
pipeline_b_frozen_replay,000156.SZ,801760.SI,传媒,-0.0003858628464208842,-8.859975998625882e-05,-0.00029726308643462544,0.013282460601604203,2,-0.0021933720232909654,0.0003858628464208843
pipeline_b_frozen_replay,000158.SZ,801750.SI,计算机,0.0,4.124270923449479e-05,-4.124270923449479e-05,0.0,0,0.015038070836859646,0.0
pipeline_b_frozen_replay,000301.SZ,801030.SI,石油石化,0.0,0.0014995266695909011,-0.0014995266695909011,0.0,0,0.1453848599293162,0.0
pipeline_b_frozen_replay,000301.SZ,999999.SI,石油石化,0.0,0.00012371403947067025,-0.00012371403947067025,0.0,0,0.049090909090909296,0.0
pipeline_b_frozen_replay,000400.SZ,801730.SI,电力设备,0.004754861559728453,0.0005124834640618693,0.004242378095666584,0.016953079746745224,4,0.022071183510917764,-2.5304332580342037e-07
pipeline_b_frozen_replay,000401.SZ,801710.SI,建筑材料,0.0,-0.0005120795776670333,0.0005120795776670333,0.0,0,-0.013434072539743718,0.0
pipeline_b_frozen_replay,000401.SZ,999999.SI,建筑材料,0.0,-0.0004741665789201612,0.0004741665789201612,0.0,0,-0.0911547444263387,0.0
pipeline_b_frozen_replay,000402.SZ,801180.SI,房地产,0.0005710894470132817,-0.0001465154589885324,0.0007176049060018145,0.016029646224926024,4,0.0001361988445586354,-0.0015894583272176251
pipeline_b_frozen_replay,000415.SZ,801790.SI,非银金融,-0.0001895725740009839,-6.676480689213369e-05,-0.00012280776710885022,0.00045131513818774015,24,-0.0016437667735948968,-4.365394851842808e-06
pipeline_b_frozen_replay,000488.SZ,801140.SI,轻工制造,0.0,-0.00022492082801096696,0.00022492082801096696,0.0,0,-0.002341837415983599,0.0
pipeline_b_frozen_replay,000501.SZ,801200.SI,商贸零售,-0.0029219220811817306,-9.457545377540452e-05,-0.002827346627406326,0.015945124124649893,6,-0.006555451965441624,0.0011742479174139235
pipeline_b_frozen_replay,000513.SZ,801150.SI,医药生物,0.0011058466021592742,-0.0002674788744305883,0.0013733254765898625,0.017799950118605176,1,-0.002467827894986424,-0.0011058466021592742
pipeline_b_frozen_replay,000519.SZ,801740.SI,国防军工,-0.001595258436622754,0.0010903820003729035,-0.0026856404369956575,0.01758675154520693,1,0.04389508629368419,-0.013372491061355424
pipeline_b_frozen_replay,000528.SZ,801890.SI,机械设备,0.0,0.00020744369538149685,-0.00020744369538149685,0.0,0,0.006219898031264266,0.0
pipeline_b_frozen_replay,000537.SZ,801160.SI,公用事业,0.0,-0.00013110889646647373,0.00013110889646647373,0.0,0,-0.021922874242011864,0.0
pipeline_b_frozen_replay,000537.SZ,801180.SI,公用事业,0.0,0.0008419544206773083,-0.0008419544206773083,0.0,0,0.1146603052899752,0.0
pipeline_b_frozen_replay,000540.SZ,801180.SI,房地产,0.0,-0.0009981711645485737,0.0009981711645485737,0.0,0,-0.020746203982991308,0.0
pipeline_b_frozen_replay,000543.SZ,801160.SI,公用事业,0.0,-6.263452922185221e-05,6.263452922185221e-05,0.0,0,-0.006129539920224396,0.0
pipeline_b_frozen_replay,000547.SZ,801740.SI,国防军工,0.0,-0.0039046189855020336,0.0039046189855020336,0.0,0,-0.039150937312713914,0.0
pipeline_b_frozen_replay,000553.SZ,801030.SI,基础化工,-0.0022735539470516873,0.00011943033457744066,-0.002392984281629128,0.01165394005551849,4,0.008889107496403,-0.0011958999889180142
pipeline_b_frozen_replay,000559.SZ,801880.SI,汽车,-0.0011150923733521559,-4.118235262054297e-05,-0.0010739100207316126,0.013546767353926787,9,-0.0006466827719474785,0.0019095564509576776
pipeline_b_frozen_replay,000563.SZ,801790.SI,非银金融,-7.369624927545876e-05,-0.00027801746978408504,0.00020432122050862626,0.00029812213383271103,20,-0.009251033371379308,-8.537391081472382e-05
pipeline_b_frozen_replay,000564.SZ,801200.SI,未分类,0.0,0.0001781715302418299,-0.0001781715302418299,0.0,0,0.09019018207400498,0.0
pipeline_b_frozen_replay,000581.SZ,801880.SI,汽车,-0.000256241785081145,-0.0002187288672043326,-3.751291787681237e-05,0.016760427825438597,13,-0.005225505755364156,0.00019221926977496418
pipeline_b_frozen_replay,000598.SZ,801160.SI,环保,0.0008194400768306026,0.0004407791909123766,0.0003786608859182259,0.016731476224282796,8,0.024558699898387177,0.000345081175891163
pipeline_b_frozen_replay,000598.SZ,801970.SI,环保,-0.005341276519904423,-0.0003927567718039507,-0.004948519748100473,0.01658419159120138,8,-0.02051579222902829,0.003169931753989578
pipeline_b_frozen_replay,000600.SZ,801160.SI,公用事业,0.0,-0.00010424137491756018,0.00010424137491756018,0.0,0,-0.010069042077853085,-0.002150830355906765
pipeline_b_frozen_replay,000623.SZ,801150.SI,医药生物,0.0,-0.0001603413050144232,0.0001603413050144232,0.0,0,-0.0004183087336496703,0.0
pipeline_b_frozen_replay,000629.SZ,801040.SI,钢铁,0.01911932791601028,0.0004892952657673437,0.018630032650242934,0.017872404084655392,4,0.04670758834459288,-0.00145885101212272
pipeline_b_frozen_replay,000629.SZ,999999.SI,钢铁,0.0,0.0010152460914082675,-0.0010152460914082675,0.0,0,0.05884103528125786,0.0
pipeline_b_frozen_replay,000630.SZ,801050.SI,有色金属,0.005389208410953543,0.0010675704906917016,0.004321637920261841,0.018148951854534738,1,0.018178235425210548,-0.005389208410953543
pipeline_b_frozen_replay,000636.SZ,801080.SI,电子,0.0,-0.002169116837924233,0.002169116837924233,0.0,0,-0.028038019598086758,0.0
pipeline_b_frozen_replay,000656.SZ,801180.SI,房地产,0.0,-0.00135402748349364,0.00135402748349364,0.0,0,-0.05015151173326963,0.0
pipeline_b_frozen_replay,000671.SZ,801180.SI,房地产,0.0,-0.0009086640701866755,0.0009086640701866755,0.0,0,-0.01652457573196138,0.0
pipeline_b_frozen_replay,000681.SZ,801760.SI,传媒,0.0,0.0007428015475099722,-0.0007428015475099722,0.0,0,0.053826113611415406,0.0
pipeline_b_frozen_replay,000685.SZ,801160.SI,环保,-0.0019820955018658927,5.663058655573155e-05,-0.0020387260884216244,0.014778999924175548,5,0.006355710072326613,0.0019820955018658927
