source_id,artifact_path,artifact_scope_note,n_months,monthly_win_rate,monthly_excess_sum,monthly_excess_mean,monthly_ir_sqrt12,n_days,ann_strategy_return,ann_benchmark_return,ann_excess_return,tracking_error,ir_daily,max_excess_drawdown,paired_vs_pipeline_t_stat,paired_vs_pipeline_p_value,monthly_mean_diff_vs_pipeline,monthly_sum_diff_vs_pipeline,better_months_vs_pipeline,p_value_bonferroni_3_windows,p_value_bh_3_windows
pipeline_b_frozen_replay,check/0526/tmp/stage2/pipeline_b_lam0050_replayed/backtest_nav_valid.parquet,frozen_replay,23,0.391304347826087,0.03591705433330694,0.001561611057969867,0.36049953664671053,484.0,-0.007255954155736211,-0.035023253526971554,0.027767299371235343,0.05731472309919466,0.4844706188875491,-0.04034913626213277,,,,,,,
rolling_36m_live_artifact,experiments/ridge_rolling/results/rolling_36m/backtest_nav_valid.parquet,live_experiments_artifact,23,0.6086956521739131,0.022029543327139467,0.0009578062316147594,0.20276181799252155,484.0,-0.009537208783660378,-0.035023253526971554,0.025486044743311176,0.05743929454405693,0.44370399994663823,-0.06555355150824704,-0.2504974979889364,0.8045271972772602,-0.0006038048263551076,-0.013887511006167474,13.0,1.0,0.9506298297796153
rolling_48m_replay,check/0526/tmp/stage2/rolling_48m_replayed/backtest_nav_valid.parquet,frozen_replay,23,0.6086956521739131,0.07830297645454576,0.0034044772371541634,0.7334466556774654,484.0,0.026714221778196823,-0.035023253526971554,0.06173747530516838,0.05643389207908197,1.093978689590546,-0.044063467343042007,0.8835730783363298,0.38648068776574174,0.0018428661791842964,0.04238592212123882,14.0,1.0,0.9506298297796153
rolling_60m_live_artifact,experiments/ridge_rolling/results/rolling_60m/backtest_nav_valid.parquet,live_experiments_artifact,23,0.6086956521739131,0.03866376559890572,0.0016810332869089443,0.376036987469325,484.0,0.00018928586925270885,-0.035023253526971554,0.03521253939622426,0.05673469943489765,0.6206526120162178,-0.05459471809074734,0.06262600731114781,0.9506298297796152,0.0001194222289390773,0.002746711265598778,12.0,1.0,0.9506298297796153
