rebalance_date,next_rebalance_date,entry_date,exit_date,ts_code,stored_fwd_ret,manual_open_to_open_ret,diff
2021-01-29,2021-02-26,2021-02-01,2021-03-01,000006.SZ,0.06391752577319587,0.06391752577319587,0.0
2021-01-29,2021-02-26,2021-02-01,2021-03-01,000008.SZ,-0.0447154471544714,-0.0447154471544714,0.0
2021-01-29,2021-02-26,2021-02-01,2021-03-01,000009.SZ,0.41133720930232576,0.41133720930232576,0.0
2021-01-29,2021-02-26,2021-02-01,2021-03-01,000012.SZ,0.01851851851851838,0.01851851851851838,0.0
2021-01-29,2021-02-26,2021-02-01,2021-03-01,000021.SZ,0.01512933138116157,0.01512933138116157,0.0
2021-01-29,2021-02-26,2021-02-01,2021-03-01,000025.SZ,-0.015131578947368385,-0.015131578947368385,0.0
2021-01-29,2021-02-26,2021-02-01,2021-03-01,000027.SZ,-0.09133858267716533,-0.09133858267716533,0.0
2021-01-29,2021-02-26,2021-02-01,2021-03-01,000028.SZ,0.015625,0.015625,0.0
2021-01-29,2021-02-26,2021-02-01,2021-03-01,000029.SZ,0.13755795981452867,0.13755795981452867,0.0
2021-01-29,2021-02-26,2021-02-01,2021-03-01,000030.SZ,0.06708268330733236,0.06708268330733236,0.0
2021-12-31,2022-01-28,2022-01-04,2022-02-07,000006.SZ,-0.026966292134831593,-0.026966292134831593,0.0
2021-12-31,2022-01-28,2022-01-04,2022-02-07,000008.SZ,-0.17229729729729726,-0.17229729729729726,0.0
2021-12-31,2022-01-28,2022-01-04,2022-02-07,000009.SZ,-0.10860655737704916,-0.10860655737704916,0.0
2021-12-31,2022-01-28,2022-01-04,2022-02-07,000012.SZ,-0.0888888888888889,-0.0888888888888889,0.0
2021-12-31,2022-01-28,2022-01-04,2022-02-07,000021.SZ,-0.14873417721519,-0.14873417721519,0.0
2021-12-31,2022-01-28,2022-01-04,2022-02-07,000025.SZ,-0.02937249666221642,-0.02937249666221642,0.0
2021-12-31,2022-01-28,2022-01-04,2022-02-07,000027.SZ,-0.13258983890954146,-0.13258983890954146,0.0
2021-12-31,2022-01-28,2022-01-04,2022-02-07,000028.SZ,-0.1213333333333333,-0.1213333333333333,0.0
2021-12-31,2022-01-28,2022-01-04,2022-02-07,000029.SZ,-0.03474903474903479,-0.03474903474903479,0.0
2021-12-31,2022-01-28,2022-01-04,2022-02-07,000030.SZ,-0.13997308209959625,-0.13997308209959625,0.0
2022-10-31,2022-11-30,2022-11-01,2022-12-01,000006.SZ,0.7445652173913042,0.7445652173913042,0.0
2022-10-31,2022-11-30,2022-11-01,2022-12-01,000008.SZ,0.08444444444444432,0.08444444444444432,0.0
2022-10-31,2022-11-30,2022-11-01,2022-12-01,000009.SZ,0.13151152860802728,0.13151152860802728,0.0
2022-10-31,2022-11-30,2022-11-01,2022-12-01,000012.SZ,0.07163742690058483,0.07163742690058483,0.0
2022-10-31,2022-11-30,2022-11-01,2022-12-01,000021.SZ,0.03842794759825341,0.03842794759825341,0.0
2022-10-31,2022-11-30,2022-11-01,2022-12-01,000025.SZ,0.3285024154589373,0.3285024154589373,0.0
2022-10-31,2022-11-30,2022-11-01,2022-12-01,000027.SZ,0.0769230769230771,0.0769230769230771,0.0
2022-10-31,2022-11-30,2022-11-01,2022-12-01,000028.SZ,0.14455942301661961,0.14455942301661961,0.0
2022-10-31,2022-11-30,2022-11-01,2022-12-01,000029.SZ,0.24052004333694477,0.24052004333694477,0.0
2022-10-31,2022-11-30,2022-11-01,2022-12-01,000030.SZ,0.07002188183807423,0.07002188183807423,0.0
