source_id,period_start,period_end,brinson_excess_return_gross,nav_monthly_excess_return_net,gross_minus_nav_net,cash_weight,weight_sum
pipeline_b_frozen_replay,2020-12-31,2021-01-29,0.0111055997280924,,,3.0492730319520156e-05,0.9999695072696805
pipeline_b_frozen_replay,2021-01-29,2021-02-26,-0.001346433310153188,-0.0008828716523741065,-0.00046356165777908156,8.291683561978402e-09,0.9999999917083164
pipeline_b_frozen_replay,2021-02-26,2021-03-31,0.030254626604866032,0.028815769877695963,0.0014388567271700695,1.9627493741403157e-08,0.9999999803725063
pipeline_b_frozen_replay,2021-03-31,2021-04-30,0.0004034231193672383,-0.0016019655051568993,0.0020053886245241376,3.8411205327548714e-09,0.9999999961588795
pipeline_b_frozen_replay,2021-04-30,2021-05-31,-0.020271066997895604,-0.023360462842059393,0.003089395844163789,9.87093458015842e-06,0.9999901290654198
pipeline_b_frozen_replay,2021-05-31,2021-06-30,0.014620352520117758,0.023498249776359392,-0.008877897256241635,4.9828697331166794e-05,0.9999501713026688
pipeline_b_frozen_replay,2021-06-30,2021-07-30,-0.004350865314579943,-0.006194806585756107,0.0018439412711761648,5.6893403144187e-07,0.9999994310659686
pipeline_b_frozen_replay,2021-07-30,2021-08-31,-0.010638849174976539,-0.010912075909322194,0.00027322673434565514,0.021922943433398623,0.9780770565666014
pipeline_b_frozen_replay,2021-08-31,2021-09-30,0.025801036461966978,0.02068149082475801,0.005119545637208969,3.137296145094837e-08,0.9999999686270385
pipeline_b_frozen_replay,2021-09-30,2021-10-29,-0.01593737384037515,-0.017315474988311097,0.0013781011479359478,2.7411338832106225e-07,0.9999997258866117
pipeline_b_frozen_replay,2021-10-29,2021-11-30,-0.0018729483460493343,-0.0023738278657552403,0.000500879519705906,0.0,1.0
pipeline_b_frozen_replay,2021-11-30,2021-12-31,0.0019961716543300673,-0.004215816297538311,0.006211987951868378,2.5862322468039878e-06,0.9999974137677532
pipeline_b_frozen_replay,2021-12-31,2022-01-28,0.023705101951567623,0.02320675677662354,0.0004983451749440843,0.0,1.0
pipeline_b_frozen_replay,2022-01-28,2022-02-28,0.012375438045217357,0.011221466662684865,0.001153971382532492,0.0,1.0
pipeline_b_frozen_replay,2022-02-28,2022-03-31,-0.0027988168855741236,-0.004803162041820297,0.0020043451562461734,0.0005197367490019644,0.999480263250998
pipeline_b_frozen_replay,2022-03-31,2022-04-29,0.013864237797523063,0.013103393744229641,0.0007608440532934219,-2.220446049250313e-16,1.0000000000000002
pipeline_b_frozen_replay,2022-04-29,2022-05-31,-0.0011644509794994928,-0.0027952155567423365,0.0016307645772428436,0.01520149650189584,0.9847985034981042
pipeline_b_frozen_replay,2022-05-31,2022-06-30,-0.011227812289217168,-0.011000057790730766,-0.0002277544984864016,0.0,1.0
pipeline_b_frozen_replay,2022-06-30,2022-07-29,0.024921410976834764,0.021695347996833036,0.0032260629800017274,0.0,1.0
pipeline_b_frozen_replay,2022-07-29,2022-08-31,-0.00037201935100517405,-0.0030803765723322885,0.0027083572213271144,6.162078736160481e-09,0.9999999938379213
pipeline_b_frozen_replay,2022-08-31,2022-09-30,0.0060917510253128415,0.004854194901415587,0.0012375561238972543,0.0,1.0
pipeline_b_frozen_replay,2022-09-30,2022-10-31,-0.015165955198325457,-0.017068692163640375,0.0019027369653149186,2.2287848233659702e-08,0.9999999777121518
pipeline_b_frozen_replay,2022-10-31,2022-11-30,-0.013440766022490211,-0.016403880897877476,0.0029631148753872655,6.833191790178716e-10,0.9999999993166808
pipeline_b_frozen_replay,2022-11-30,2022-12-30,0.010432360391283722,0.010849070442123798,-0.0004167100508400759,2.764700334223491e-07,0.9999997235299666
rolling_48m_replay,2020-12-31,2021-01-29,0.038970872965137994,,,0.01569945854262167,0.9843005414573783
rolling_48m_replay,2021-01-29,2021-02-26,-0.015201399118198991,-0.014583711683224476,-0.0006176874349745152,4.264027941847104e-08,0.9999999573597206
rolling_48m_replay,2021-02-26,2021-03-31,0.018521836592068082,0.016608154086474425,0.001913682505593657,3.095778411399408e-08,0.9999999690422159
rolling_48m_replay,2021-03-31,2021-04-30,0.025123917617092095,0.022767648012196995,0.0023562696048951004,2.1873657884974307e-08,0.9999999781263421
rolling_48m_replay,2021-04-30,2021-05-31,-0.0172712069052628,-0.01908082832246505,0.0018096214172022493,0.015676464547174418,0.9843235354528256
rolling_48m_replay,2021-05-31,2021-06-30,0.02826064796868965,0.03724840659865247,-0.008987758629962823,0.0004904606222907448,0.9995095393777093
rolling_48m_replay,2021-06-30,2021-07-30,-0.010120541103948279,-0.012405824983576563,0.002285283879628284,1.4778214652011457e-08,0.9999999852217853
rolling_48m_replay,2021-07-30,2021-08-31,0.002857934304782664,0.0010526961493766418,0.001805238155406022,0.021880048143212316,0.9781199518567877
rolling_48m_replay,2021-08-31,2021-09-30,0.016165551769106716,0.009640710827435006,0.00652484094167171,8.731098732894793e-09,0.9999999912689013
rolling_48m_replay,2021-09-30,2021-10-29,-0.012868985338479993,-0.013419977997992216,0.0005509926595122228,0.0,1.0
rolling_48m_replay,2021-10-29,2021-11-30,0.008130983191060537,0.006800973017932588,0.001330010173127949,3.4416617666899185e-08,0.9999999655833823
rolling_48m_replay,2021-11-30,2021-12-31,-0.006234799528159059,-0.01324026135075762,0.0070054618225985615,3.658740499457025e-08,0.999999963412595
rolling_48m_replay,2021-12-31,2022-01-28,0.013661973946296549,0.012924642188163582,0.0007373317581329669,3.3771328622478336e-08,0.9999999662286714
