month_end,strategy,benchmark,monthly_excess_return,source_id,is_positive_excess,year,benchmark_state,benchmark_monthly_vol,vol_state,return_state,rolling_minus_pipeline_b
2021-02-28,0.0019875016440029647,0.002870373296377071,-0.0008828716523741065,pipeline_b_frozen_replay,False,2021,benchmark_up,0.013036125551231913,high_vol,benchmark_up_high_vol,-0.01370084003085037
2021-03-31,0.011622458894581023,-0.01719331098311494,0.028815769877695963,pipeline_b_frozen_replay,True,2021,benchmark_down,0.013329559181020145,high_vol,benchmark_down_high_vol,-0.012207615791221538
2021-04-30,0.03602197731487933,0.03762394282003623,-0.0016019655051568993,pipeline_b_frozen_replay,False,2021,benchmark_up,0.006445662663194677,low_vol,benchmark_up_low_vol,0.024369613517353894
2021-05-31,0.016789685552097255,0.04015014839415665,-0.023360462842059393,pipeline_b_frozen_replay,False,2021,benchmark_up,0.006880510848384808,low_vol,benchmark_up_low_vol,0.004279634519594344
2021-06-30,0.04070242900411425,0.017204179227754857,0.023498249776359392,pipeline_b_frozen_replay,True,2021,benchmark_up,0.007350693062962566,low_vol,benchmark_up_low_vol,0.01375015682229308
2021-07-31,-0.0079231661102801,-0.0017283595245239924,-0.006194806585756107,pipeline_b_frozen_replay,False,2021,benchmark_down,0.01091899604543368,high_vol,benchmark_down_high_vol,-0.006211018397820456
2021-08-31,0.06170399607899846,0.07261607198832065,-0.010912075909322194,pipeline_b_frozen_replay,False,2021,benchmark_up,0.008908456175560896,low_vol,benchmark_up_low_vol,0.011964772058698836
2021-09-30,-7.380241375665175e-05,-0.02075529323851466,0.02068149082475801,pipeline_b_frozen_replay,True,2021,benchmark_down,0.013784859127504693,high_vol,benchmark_down_high_vol,-0.011040779997323003
2021-10-31,-0.028705930761695586,-0.011390455773384489,-0.017315474988311097,pipeline_b_frozen_replay,False,2021,benchmark_down,0.008573296808242314,low_vol,benchmark_down_low_vol,0.0038954969903188807
2021-11-30,0.030969169529628582,0.03334299739538382,-0.0023738278657552403,pipeline_b_frozen_replay,False,2021,benchmark_up,0.006954411443272622,low_vol,benchmark_up_low_vol,0.009174800883687828
