source_id,period,n_dates,date_min,date_max,avg_non_nan,min_non_nan,avg_nan_rate,avg_universe_overlap_ratio,avg_top_in_universe_ratio,avg_top_industry_nunique,avg_top_industry_max_share,avg_top_log_free_float_mv_median,std_mean,avg_cross_section_std,max_abs_signal
expanding_ridge,all,105,2014-03-31,2022-11-30,466.6857142857143,417,0.6488444587767387,0.9333714285714285,1.0,20.60952380952381,0.13295238095238096,22.601476674227147,2.68028042647446e-18,1.0,3.1159102899136597
expanding_ridge,train,82,2014-03-31,2020-12-31,466.1707317073171,417,0.649231955073501,0.932341463414634,1.0,20.26829268292683,0.13146341463414635,22.490095368924514,9.275764146941362e-19,1.0,3.1159102899136597
expanding_ridge,valid,23,2021-01-29,2022-11-30,468.5217391304348,462,0.6474629502404553,0.9370434782608695,1.0,21.82608695652174,0.13826086956521744,22.99857524095829,8.929051251082572e-18,1.0,3.004242258699717
ic_ir,all,132,2012-01-31,2022-12-30,480.81060606060606,421,0.638216248261395,0.9616212121212123,1.0,20.060606060606062,0.16348484848484848,22.37950876853854,3.478813261131168e-18,1.0,3.1775458508609646
ic_ir,train,108,2012-01-31,2020-12-31,476.99074074074076,421,0.6410904885321739,0.9539814814814815,1.0,19.77777777777778,0.1724074074074075,22.252617322691297,2.1700157460949652e-18,1.0,3.1775458508609646
ic_ir,valid,24,2021-01-29,2022-12-30,498.0,496,0.6252821670428894,0.9959999999999999,1.0,21.333333333333332,0.12333333333333334,22.950520274851158,9.368402078794084e-18,1.0,2.9533444211923743
rolling_48m,all,105,2014-03-31,2022-11-30,463.2190476190476,417,0.6514529363287829,0.9264380952380952,1.0,20.81904761904762,0.13123809523809524,22.648122593570722,3.5671401725637106e-19,1.0,3.0655854464251093
rolling_48m,train,82,2014-03-31,2020-12-31,463.9268292682927,417,0.6509203692488392,0.9278536585365854,1.0,20.426829268292682,0.13048780487804879,22.515997760020902,8.384030530370307e-19,1.0,3.0655854464251093
rolling_48m,valid,23,2021-01-29,2022-11-30,460.69565217391306,451,0.653351653744234,0.9213913043478261,1.0,22.217391304347824,0.1339130434782609,23.11917634796573,-1.3606121103094622e-18,1.0,2.948503558179127
