month_end,pipeline_b_frozen_replay,rolling_48m_replay,rolling_minus_pipeline_b
2021-02-28,-0.0008828716523741065,-0.014583711683224476,-0.01370084003085037
2021-03-31,0.028815769877695963,0.016608154086474425,-0.012207615791221538
2021-04-30,-0.0016019655051568993,0.022767648012196995,0.024369613517353894
2021-05-31,-0.023360462842059393,-0.01908082832246505,0.004279634519594344
2021-06-30,0.023498249776359392,0.03724840659865247,0.01375015682229308
2021-07-31,-0.006194806585756107,-0.012405824983576563,-0.006211018397820456
2021-08-31,-0.010912075909322194,0.0010526961493766418,0.011964772058698836
2021-09-30,0.02068149082475801,0.009640710827435006,-0.011040779997323003
2021-10-31,-0.017315474988311097,-0.013419977997992216,0.0038954969903188807
2021-11-30,-0.0023738278657552403,0.006800973017932588,0.009174800883687828
2021-12-31,-0.004215816297538311,-0.01324026135075762,-0.00902444505321931
2022-01-31,0.02320675677662354,0.012924642188163582,-0.010282114588459956
2022-02-28,0.011221466662684865,0.017471426577824634,0.006249959915139769
2022-03-31,-0.004803162041820297,0.009414792631372015,0.014217954673192312
2022-04-30,0.013103393744229641,0.015845542989605943,0.002742149245376302
2022-05-31,-0.0027952155567423365,0.0007026908120013609,0.0034979063687436973
2022-06-30,-0.011000057790730766,-0.0013910417546476594,0.009609016036083107
2022-07-31,0.021695347996833036,0.023084681740106583,0.0013893337432735464
2022-08-31,-0.0030803765723322885,0.00707936707875656,0.010159743651088848
2022-09-30,0.004854194901415587,-0.00010176843791476209,-0.004955963339330349
2022-10-31,-0.017068692163640375,-0.02382831719933043,-0.006759625035690053
2022-11-30,-0.016403880897877476,-0.01905831396553581,-0.002654433067658335
2022-12-31,0.010849070442123798,0.01477128944009154,0.003922218997967741
