left,right,rebalance_date,period,n_obs,spearman_rank_corr
expanding_ridge,rolling_48m,2020-10-30,train,473,0.8985616386434532
expanding_ridge,rolling_48m,2020-11-30,train,473,0.8950331420697526
expanding_ridge,rolling_48m,2020-12-31,train,470,0.8814454661315049
expanding_ridge,rolling_48m,2021-01-29,valid,469,0.8902765242774809
expanding_ridge,rolling_48m,2021-02-26,valid,469,0.8718796197464515
expanding_ridge,rolling_48m,2021-03-31,valid,469,0.8778121033393015
expanding_ridge,rolling_48m,2021-04-30,valid,469,0.8719049512201673
expanding_ridge,rolling_48m,2021-05-31,valid,470,0.8687743426494712
expanding_ridge,rolling_48m,2021-06-30,valid,464,0.857057680691478
expanding_ridge,rolling_48m,2021-07-30,valid,467,0.8356991417803722
expanding_ridge,rolling_48m,2021-08-31,valid,465,0.8352215815134023
expanding_ridge,rolling_48m,2021-09-30,valid,465,0.8288467695920531
expanding_ridge,rolling_48m,2021-10-29,valid,466,0.8147263006085631
expanding_ridge,rolling_48m,2021-11-30,valid,465,0.8042780831318939
expanding_ridge,rolling_48m,2021-12-31,valid,458,0.8304802322510868
expanding_ridge,rolling_48m,2022-01-28,valid,457,0.8022064706016075
expanding_ridge,rolling_48m,2022-02-28,valid,457,0.8156986882731059
expanding_ridge,rolling_48m,2022-03-31,valid,459,0.8475425931764758
expanding_ridge,rolling_48m,2022-04-29,valid,458,0.8651955125990267
expanding_ridge,rolling_48m,2022-05-31,valid,456,0.8701067696165022
expanding_ridge,rolling_48m,2022-06-30,valid,453,0.886374667596107
expanding_ridge,rolling_48m,2022-07-29,valid,453,0.8757224539977265
expanding_ridge,rolling_48m,2022-08-31,valid,452,0.8427996225023676
expanding_ridge,rolling_48m,2022-09-30,valid,451,0.8533707740050228
expanding_ridge,rolling_48m,2022-10-31,valid,452,0.8048354085369221
expanding_ridge,rolling_48m,2022-11-30,valid,452,0.8106208027724646
ic_ir,expanding_ridge,2014-03-31,train,467,0.9057991403112761
ic_ir,expanding_ridge,2014-04-30,train,465,0.8956308306360746
ic_ir,expanding_ridge,2014-05-30,train,466,0.9076054005934626
ic_ir,expanding_ridge,2014-06-30,train,470,0.8981031404642932
ic_ir,expanding_ridge,2014-07-31,train,472,0.9080424891732687
ic_ir,expanding_ridge,2014-08-29,train,469,0.9202145808735286
ic_ir,expanding_ridge,2014-09-30,train,465,0.9307713405197084
ic_ir,expanding_ridge,2014-10-31,train,459,0.917638486226181
ic_ir,expanding_ridge,2014-11-28,train,454,0.9074410899949888
