source_id,period,n,ic_mean,ic_std,ic_ir,positive_count,positive_rate,t_stat,p_value,source_file,test_name,variant,label,win_rate
expanding_ridge,all_common_fwd,105,0.0942258740963389,0.1123436125552076,0.8387292517412562,83.0,0.7904761904761904,8.594417348562786,9.094280891657101e-14,check/0526/stage4_ic_summary.csv,,,,
expanding_ridge,train,82,0.1036559519338477,0.1155095094170849,0.8973802456347032,68.0,0.8292682926829268,8.126123739578597,4.238546874057119e-12,check/0526/stage4_ic_summary.csv,,,,
expanding_ridge,valid,23,0.0606055965886986,0.0950037072828798,0.6379287537510668,15.0,0.6521739130434783,3.059398826866964,0.0057444275684658,check/0526/stage4_ic_summary.csv,,,,
expanding_ridge,2021,12,0.0559511884129489,0.0819104571237861,0.6830774772553578,8.0,0.6666666666666666,2.366249792224508,0.0373988088835833,check/0526/stage4_ic_summary.csv,,,,
expanding_ridge,2022,11,0.0656831327804256,0.1114537512150854,0.5893308396024205,7.0,0.6363636363636364,1.9545892723463496,0.079143635696238,check/0526/stage4_ic_summary.csv,,,,
ic_ir,all_common_fwd,131,0.0924521294571928,0.1114940582637923,0.8292112682673486,102.0,0.7786259541984732,9.49075676077637,1.4886085121422803e-16,check/0526/stage4_ic_summary.csv,,,,
ic_ir,train,108,0.1021139605235936,0.1114413770063029,0.9163020349059235,88.0,0.8148148148148148,9.522490077214863,6.154055156907428e-16,check/0526/stage4_ic_summary.csv,,,,
ic_ir,valid,23,0.0470835314062677,0.1021907553517412,0.4607415929572686,14.0,0.6086956521739131,2.2096390556057863,0.0378411202780626,check/0526/stage4_ic_summary.csv,,,,
ic_ir,2021,12,0.0342490699775778,0.0814212137412974,0.4206406218212206,7.0,0.5833333333333334,1.4571418574434398,0.1730248068412199,check/0526/stage4_ic_summary.csv,,,,
ic_ir,2022,11,0.0610847620557477,0.1235671057235976,0.4943448476683252,7.0,0.6363636363636364,1.6395563767612311,0.1321343196357786,check/0526/stage4_ic_summary.csv,,,,
rolling_48m,all_common_fwd,105,0.0862816245920527,0.1071817159985914,0.8050032021617073,85.0,0.8095238095238095,8.248828178990836,5.252161746364222e-13,check/0526/stage4_ic_summary.csv,,,,
rolling_48m,train,82,0.1013576985726809,0.1105635991992102,0.9167366050562226,70.0,0.8536585365853658,8.30140302901267,1.911136984182878e-12,check/0526/stage4_ic_summary.csv,,,,
rolling_48m,valid,23,0.0325321434437264,0.0736977449164651,0.4414265793424338,15.0,0.6521739130434783,2.117007504438547,0.0458017662854631,check/0526/stage4_ic_summary.csv,,,,
rolling_48m,2021,12,0.0228225101597939,0.0758257304696794,0.3009863540835916,6.0,0.5,1.042647315315394,0.3194851149001281,check/0526/stage4_ic_summary.csv,,,,
rolling_48m,2022,11,0.0431244706625619,0.0734025999648553,0.5875060377045183,9.0,0.8181818181818182,1.94853708913428,0.0799419816774475,check/0526/stage4_ic_summary.csv,,,,
expanding_ridge_current_signal,valid,23,0.0606055965886986,0.0950037072828798,0.6379287537510668,,0.6521739130434783,3.059398826866964,0.0057444275684658,check/0526/stage5_shift_test_summary.csv,original,,,
rolling_48m_current_signal,valid,23,0.0325321434437264,0.0736977449164651,0.4414265793424338,,0.6521739130434783,2.117007504438547,0.0458017662854631,check/0526/stage5_shift_test_summary.csv,original,,,
,train,82,0.1024810556314965,0.1109122833469414,0.9239829218097378,,,8.367021218048688,1.418012197770396e-12,experiments/ridge_rolling/results/ic_stats_summary.csv,,expanding,train,0.8292682926829268
,valid,23,0.0576119121403486,0.0805377649552619,0.7153403396822796,,,3.430651750945505,0.0023897865332191,experiments/ridge_rolling/results/ic_stats_summary.csv,,expanding,valid,0.6521739130434783
,train,82,0.1022044397142065,0.1126517148187414,0.907260398819984,,,8.21559233189511,2.822954724067089e-12,experiments/ridge_rolling/results/ic_stats_summary.csv,,rolling_36m,train,0.8292682926829268
,valid,23,0.0187693142203478,0.076024796702317,0.2468841093234497,,,1.1840145940983835,0.2490426309534967,experiments/ridge_rolling/results/ic_stats_summary.csv,,rolling_36m,valid,0.6521739130434783
,train,82,0.1013576985726809,0.1105635991992102,0.9167366050562226,,,8.30140302901267,1.911136984182878e-12,experiments/ridge_rolling/results/ic_stats_summary.csv,,rolling_48m,train,0.8536585365853658
,valid,23,0.0325321434437264,0.0736977449164651,0.4414265793424338,,,2.117007504438547,0.0458017662854631,experiments/ridge_rolling/results/ic_stats_summary.csv,,rolling_48m,valid,0.6521739130434783
,train,82,0.1025610509689473,0.1106081598968145,0.9272466973921794,,,8.396575962952143,1.2396132443375344e-12,experiments/ridge_rolling/results/ic_stats_summary.csv,,rolling_60m,train,0.8414634146341463
,valid,23,0.0398229589347569,0.0779561161832541,0.5108381597813799,,,2.449893749990601,0.0227129740930113,experiments/ridge_rolling/results/ic_stats_summary.csv,,rolling_60m,valid,0.6521739130434783
