period_start,period_end,strategy_return,benchmark_return,excess_return,cash_weight,weight_sum,allocation_effect,selection_effect,interaction_effect,total_effect,source_id,effect_residual
2020-12-31,2021-01-29,0.0040809604626583715,-0.007024639265434028,0.0111055997280924,3.0492730319520156e-05,0.9999695072696805,0.0072066059009745585,0.004450825305070074,-0.0005520456783829402,0.011105599728092403,pipeline_b_frozen_replay,2.1420043071207484e-07
2021-01-29,2021-02-26,0.003071507177351252,0.00441794048750444,-0.001346433310153188,8.291683561978402e-09,0.9999999917083164,-0.0008137452755025375,-0.004856207331125951,0.004323519333107464,-0.0013464333101531872,pipeline_b_frozen_replay,-3.663216258109614e-11
2021-02-26,2021-03-31,0.006821836679506067,-0.023432789925359965,0.030254626604866032,1.9627493741403157e-08,0.9999999803725063,-0.011600410270834792,0.028075943509474163,0.013779092906299728,0.030254626604866032,pipeline_b_frozen_replay,4.599269298743991e-10
2021-03-31,2021-04-30,0.03731458586204997,0.03691116274268273,0.0004034231193672383,3.8411205327548714e-09,0.9999999961588795,-0.009303701445576391,0.008495529251696391,0.001211595455027463,0.00040342311936723005,pipeline_b_frozen_replay,-1.417802329532758e-10
2021-04-30,2021-05-31,0.016712041476406245,0.03698310847430185,-0.020271066997895604,9.87093458015842e-06,0.9999901290654198,-0.0014979099525579001,-0.013262602835197226,-0.005510189152296157,-0.020271066997895604,pipeline_b_frozen_replay,-3.650578443217811e-07
2021-05-31,2021-06-30,0.040364831862943075,0.025744479342825317,0.014620352520117758,4.9828697331166794e-05,0.9999501713026688,-0.005107179130742269,0.01914906774924454,0.0005797467154846107,0.014620352520117761,pipeline_b_frozen_replay,-1.2828138691196866e-06
2021-06-30,2021-07-30,-0.008655312176502141,-0.0043044468619221985,-0.004350865314579943,5.6893403144187e-07,0.9999994310659686,-0.013440625139392152,-0.0013645879673468853,0.010454345343212788,-0.004350865314579943,pipeline_b_frozen_replay,2.4489463061605488e-09
2021-07-30,2021-08-31,0.06466412809124027,0.0753029772662168,-0.010638849174976539,0.021922943433398623,0.9780770565666014,-0.0155284889229528,0.007594021182587294,-0.0010535185236372614,-0.010638849174976563,pipeline_b_frozen_replay,-0.0016508629109737959
2021-08-31,2021-09-30,0.0011504079515262753,-0.024650628510440704,0.025801036461966978,3.137296145094837e-08,0.9999999686270385,0.020164370463177782,0.0170276099150709,-0.01139094468964492,0.025801036461966978,pipeline_b_frozen_replay,7.733632137463253e-10
2021-09-30,2021-10-29,-0.03937035264960721,-0.023432978809232063,-0.01593737384037515,2.7411338832106225e-07,0.9999997258866117,-0.0012121195854297461,-0.016714712000261703,0.0019894513220230876,-0.015937373840375146,pipeline_b_frozen_replay,6.423293216761827e-09
