source_id,n_months,positive_count,negative_count,monthly_win_rate,positive_mean,negative_mean,payoff_ratio_abs_pos_over_neg,positive_sum,negative_sum,net_sum,max_positive_month,max_positive_excess,max_negative_month,max_negative_excess
pipeline_b_frozen_replay,23,9,14,0.391304347826087,0.017547304555858203,-0.008714906190672635,2.01348174862039,0.15792574100272383,-0.12200868666941689,0.03591705433330694,2021-03-31,0.028815769877695963,2021-05-31,-0.023360462842059393
rolling_48m_replay,23,14,9,0.6086956521739131,0.013958073010713596,-0.013012227299493842,1.0726889939323874,0.19541302214999035,-0.11711004569544459,0.07830297645454576,2021-06-30,0.03724840659865247,2022-10-31,-0.02382831719933043
