source_id,rebalance_date,exec_date,exec_gt_rebalance,stamp_duty_rate,sell_value,buy_value,cost,turnover_one_way_equiv,cost_bps_of_pv_before,n_locked,n_no_buy,n_no_sell,n_no_price
pipeline_b_frozen_replay,2020-12-31,2021-01-04,True,0.001,0.0,0.9999691420193512,0.0010499675991203189,0.9999691420193512,10.499675991203189,0,1,0,0
pipeline_b_frozen_replay,2021-01-29,2021-02-01,True,0.001,0.34033382583793487,0.3403646430322354,0.0010550672181516138,0.6787814639757394,10.520959039594322,0,0,0,0
pipeline_b_frozen_replay,2021-02-26,2021-03-01,True,0.001,0.221959842639649,0.2219598321923806,0.0006880755012132801,0.43992347381124064,6.818813895840336,0,0,0,0
pipeline_b_frozen_replay,2021-03-31,2021-04-01,True,0.001,0.4742956496748357,0.4742961471773816,0.0014703170363696639,0.9334790210871964,14.46892237896937,0,0,0,0
pipeline_b_frozen_replay,2021-04-30,2021-05-06,True,0.001,0.6351001566612152,0.6350898065186485,0.0019687996180000724,1.2057691170738558,18.689470440691366,1,0,0,0
pipeline_b_frozen_replay,2021-05-31,2021-06-01,True,0.001,0.3668402871553787,0.36679717787681776,0.0011371596254391848,0.684825193578221,10.614991705563328,0,1,0,0
pipeline_b_frozen_replay,2021-06-30,2021-07-01,True,0.001,0.40628120071044493,0.4063339657198783,0.0012595271254622843,0.7294410301791432,11.306099146188664,0,0,0,0
pipeline_b_frozen_replay,2021-07-30,2021-08-02,True,0.001,0.3876595486666199,0.36319165790895463,0.0011760533155709733,0.6800278137848934,10.651231003938037,0,1,0,0
pipeline_b_frozen_replay,2021-08-31,2021-09-01,True,0.001,0.6528589482332633,0.6773013980388816,0.0020495273118190157,1.1322450739207324,17.445770422916393,0,0,0,0
pipeline_b_frozen_replay,2021-09-30,2021-10-08,True,0.001,0.3922191041332547,0.39221878718623626,0.0012158788900187203,0.661448362154472,10.25245094966382,0,0,0,0
pipeline_b_frozen_replay,2021-10-29,2021-11-01,True,0.001,0.5155911780017061,0.5155915203137061,0.001598333011232889,0.9056708279182469,14.03789632949779,0,0,0,0
pipeline_b_frozen_replay,2021-11-30,2021-12-01,True,0.001,0.4642113518946035,0.46420834998999727,0.0014390520388734341,0.7920784899453119,12.277229399481984,0,0,0,0
pipeline_b_frozen_replay,2021-12-31,2022-01-04,True,0.001,0.6218023024332342,0.621805325044545,0.0019275903112849024,1.0428948715073907,16.16485783448831,0,0,0,0
pipeline_b_frozen_replay,2022-01-28,2022-02-07,True,0.001,0.44365396452039624,0.44365398949398926,0.001375327316235501,0.8045522421574343,12.470559640218209,0,0,0,0
pipeline_b_frozen_replay,2022-02-28,2022-03-01,True,0.001,0.38793666110266406,0.38733971503681064,0.0012019768560491127,0.6758388119959621,10.478103492382576,0,1,0,0
pipeline_b_frozen_replay,2022-03-31,2022-04-01,True,0.001,0.4225069061064742,0.4231032416515255,0.001310397561252374,0.8079989923291162,12.521135322816175,0,0,0,0
pipeline_b_frozen_replay,2022-04-29,2022-05-05,True,0.001,0.5068427298739646,0.49213367190936064,0.0015557679517464562,1.0534246624752963,16.40563607441312,0,1,0,0
pipeline_b_frozen_replay,2022-05-31,2022-06-01,True,0.001,0.40057651913540554,0.415261445954813,0.001257206382480135,0.8025775740910509,12.367721186781408,0,0,0,1
pipeline_b_frozen_replay,2022-06-30,2022-07-01,True,0.001,0.43257837324011184,0.43257837324011195,0.0013409929570443468,0.7953279287329391,12.327582895360557,0,0,0,1
pipeline_b_frozen_replay,2022-07-29,2022-08-01,True,0.001,0.40323150621558007,0.4032315333182766,0.0012500176977261294,0.7418171741023868,11.498166073936236,0,0,0,0
