source_id,industry_code,industry_name,total_effect_sum,allocation_effect_sum,selection_effect_sum,interaction_effect_sum,W_p_mean,W_b_mean,active_weight_mean,n_periods,rolling_minus_pipeline_b_total_effect
pipeline_b_frozen_replay,801010.SI,农林牧渔,-0.007007479738492189,0.0012870944787927142,-0.0029505986547010447,-0.0029397839468986164,0.03456913383585287,0.023694397400335954,0.010874736435516914,24,0.005128869810369216
pipeline_b_frozen_replay,801030.SI,基础化工,0.014312348561917692,-0.008603547864802006,0.01409269214516579,0.0022549880436977033,0.0691194288509971,0.06825718001189131,0.0008622488391057948,24,0.012212024296041672
pipeline_b_frozen_replay,801040.SI,钢铁,0.025976814559048052,0.004247994632267688,0.03448496089244196,-0.010087782909764966,0.023660364166550773,0.03339048491792253,-0.009730120751371755,24,-0.00790487330265852
pipeline_b_frozen_replay,801050.SI,有色金属,0.013520072406038601,-0.008350033166957887,0.03057765394431292,-0.011955128015899293,0.048463315848324535,0.06067096537660133,-0.012207649528276791,24,-0.004929188586077991
pipeline_b_frozen_replay,801080.SI,电子,0.022939408666586173,-0.0006386561990224101,0.017174511750383648,0.0073556830788892085,0.06850349802219456,0.06995530875208911,-0.0014518107298945454,24,-0.005567973748255201
pipeline_b_frozen_replay,801110.SI,家用电器,0.0016400526149431692,-0.0010143191030713324,0.00166323538807393,0.0013258282236508203,0.011557654144920887,0.010531111634076516,0.0010265425108443704,24,-0.0005045466562619526
pipeline_b_frozen_replay,801120.SI,食品饮料,-0.01868859779961453,-0.008996501669138441,-0.010227843476324754,0.004116159177164609,0.02841558256255215,0.03512518279826326,-0.00670960023571111,24,0.029369928119551317
pipeline_b_frozen_replay,801130.SI,纺织服饰,-0.004728095340544045,-0.00454796529787132,-0.0008164743979584763,-0.0031456990140706284,0.007491373433515101,0.005729724730813027,0.0017616487027020747,24,9.216197092590337e-05
pipeline_b_frozen_replay,801140.SI,轻工制造,0.014586023248134425,-0.0016706000515922443,0.009832008917056968,0.0008577089473936016,0.011967861601475345,0.017024231770402343,-0.005056370168926998,24,0.0069023317681439645
pipeline_b_frozen_replay,801150.SI,医药生物,-0.024871280948048184,-0.0037856872240791557,-0.019829320616576298,-0.0013168177121082535,0.11010235139613948,0.09730895062045182,0.012793400775687663,24,0.004360304840941881
pipeline_b_frozen_replay,801160.SI,公用事业,-0.0005622973232410544,-0.007720094468567943,-0.006554236301711999,0.007043638023582012,0.04478446524764255,0.0286879204019506,0.016096544845691948,24,-0.0001537671850619835
pipeline_b_frozen_replay,801170.SI,交通运输,-0.0014797542504210884,0.006162987650212058,-0.0018321500152072684,-0.005909979081720334,0.048245150220563214,0.032439176016303105,0.01580597420426011,24,0.011918219595516977
pipeline_b_frozen_replay,801180.SI,房地产,0.0072875910750562,0.0076556889524878255,0.00017443993750575757,0.006112947779018229,0.04771679135902223,0.029054089513323816,0.018662701845698414,24,-0.009092396242293138
pipeline_b_frozen_replay,801200.SI,商贸零售,0.0034214667468364327,-0.003595416671430182,0.0016217009309891252,0.003376669984405262,0.02709391157100077,0.01643460453154261,0.010659307039458159,24,-0.020930785063134852
pipeline_b_frozen_replay,801210.SI,社会服务,0.003442679278968681,0.004852854278146025,0.0009294691816698193,9.913827652301068e-05,0.007224440132759657,0.007146433192798615,7.800693996104155e-05,24,-0.002617309215665699
pipeline_b_frozen_replay,801230.SI,综合,-0.0038587329301576477,-0.0021852169238328186,-0.0038587329301576477,0.0038587329301576477,0.0,0.008108176281038226,-0.008108176281038226,19,0.0
pipeline_b_frozen_replay,801710.SI,建筑材料,0.014558188391613398,0.00022781064740467252,0.013539043135313882,-0.0041543176017215565,0.01260466478164954,0.01831758672103684,-0.005712921939387302,24,-0.007701013548024643
pipeline_b_frozen_replay,801720.SI,建筑装饰,0.0019618849529218175,-0.005338187722012974,0.00047224723011818034,0.010476181281946882,0.013230512606942468,0.01505538148266866,-0.0018248688757261915,24,0.007489879943199418
pipeline_b_frozen_replay,801730.SI,电力设备,0.010172351077883692,-0.0027769317390077277,0.03098548093039601,-0.013002894645501478,0.05497466306971549,0.06599690692717416,-0.011022243857458675,24,0.028353758899321766
pipeline_b_frozen_replay,801740.SI,国防军工,0.005978943902355754,0.0005787620606733244,-7.750058676069373e-05,0.009500775169534964,0.034810844650682043,0.04680076793211696,-0.011989923281434917,24,-0.021484102603231796
pipeline_b_frozen_replay,801750.SI,计算机,0.005136410698133655,-0.0026280301183669325,-0.001195378610697768,0.004310684768560105,0.043991533599135046,0.047518406056882144,-0.0035268724577470975,24,0.01177485805038506
pipeline_b_frozen_replay,801760.SI,传媒,-0.00612332760710788,-0.0016242762037039357,-6.247004547519112e-05,-0.0011733944775507393,0.0552712438711937,0.03216296035347858,0.02310828351771512,24,0.0046733153537592415
pipeline_b_frozen_replay,801770.SI,通信,0.009326443352873585,0.0005636239545628509,0.011429628168861545,-0.003038012325411922,0.011048480911631275,0.019782622191404257,-0.008734141279772982,24,-0.009419664581352731
