source_id,period_start,period_end,strategy_stock_contribution,benchmark_stock_contribution,active_stock_contribution,top10_positive_share_of_positive,top10_active_share_of_positive
pipeline_b_frozen_replay,2020-12-31,2021-01-29,0.0040809604626583715,-0.007024639265434033,0.011105599728092407,0.7966555892452494,0.3558789697920018
pipeline_b_frozen_replay,2021-01-29,2021-02-26,0.003071507177351253,0.004417940487504436,-0.0013464333101531876,0.5765061143749102,0.3391020814643747
pipeline_b_frozen_replay,2021-02-26,2021-03-31,0.006821836679506067,-0.023432789925359965,0.030254626604866032,0.7241524815017975,0.3005181547797307
pipeline_b_frozen_replay,2021-03-31,2021-04-30,0.03731458586204997,0.03691116274268273,0.0004034231193672348,0.5905917798701685,0.3715298762621371
pipeline_b_frozen_replay,2021-04-30,2021-05-31,0.016712041476406245,0.03698310847430185,-0.020271066997895604,0.4876382667912346,0.33216256881621914
pipeline_b_frozen_replay,2021-05-31,2021-06-30,0.04036483186294308,0.025744479342825314,0.014620352520117764,0.6563623134842399,0.43021092186619697
pipeline_b_frozen_replay,2021-06-30,2021-07-30,-0.00865531217650214,-0.0043044468619221985,-0.004350865314579943,0.744315313095984,0.33966493410280746
pipeline_b_frozen_replay,2021-07-30,2021-08-31,0.06466412809124025,0.07530297726621682,-0.010638849174976563,0.7357857405477605,0.5622837626475187
pipeline_b_frozen_replay,2021-08-31,2021-09-30,0.0011504079515262744,-0.024650628510440704,0.025801036461966975,0.7461335644323217,0.30769899018042934
pipeline_b_frozen_replay,2021-09-30,2021-10-29,-0.03937035264960721,-0.023432978809232067,-0.015937373840375142,0.9070094528565038,0.26169870345815455
pipeline_b_frozen_replay,2021-10-29,2021-11-30,0.03408854757358747,0.03596149591963681,-0.0018729483460493404,0.6785245942178985,0.511712819022807
pipeline_b_frozen_replay,2021-11-30,2021-12-31,0.013832305177496985,0.011836133523166913,0.0019961716543300707,0.5403527331818926,0.3216188648062335
pipeline_b_frozen_replay,2021-12-31,2022-01-28,-0.08549658531209897,-0.10920168726366661,0.02370510195156762,1.0,0.12068669593385979
pipeline_b_frozen_replay,2022-01-28,2022-02-28,0.04045650630421774,0.028081068259000377,0.01237543804521736,0.5845158397117834,0.4084040006900573
pipeline_b_frozen_replay,2022-02-28,2022-03-31,-0.08186637609947857,-0.07906755921390446,-0.002798816885574122,0.9962317906868157,0.14409713716617137
pipeline_b_frozen_replay,2022-03-31,2022-04-29,-0.09077313436518471,-0.10463737216270778,0.013864237797523077,0.9867829853300457,0.12324825567071176
pipeline_b_frozen_replay,2022-04-29,2022-05-31,0.07662392326648355,0.07778837424598305,-0.0011644509794994902,0.3745353371645043,0.32113885606257153
pipeline_b_frozen_replay,2022-05-31,2022-06-30,0.07173599734229835,0.0829638096315155,-0.011227812289217168,0.5186301534231603,0.45453788563562814
pipeline_b_frozen_replay,2022-06-30,2022-07-29,0.004614569659970964,-0.020306841316863812,0.024921410976834764,0.9015029042108023,0.45249427579271223
pipeline_b_frozen_replay,2022-07-29,2022-08-31,-0.02137238480465846,-0.021000365453653275,-0.00037201935100518056,0.7472837327404903,0.2542070438257412
pipeline_b_frozen_replay,2022-08-31,2022-09-30,-0.06470796524455583,-0.07079971626986867,0.00609175102531284,1.0,0.1589063079033698
pipeline_b_frozen_replay,2022-09-30,2022-10-31,-0.001388996497057978,0.013776958701267474,-0.01516595519832545,0.6866173231350641,0.3429229665118698
pipeline_b_frozen_replay,2022-10-31,2022-11-30,0.04536395056799171,0.058804716590481934,-0.013440766022490213,0.5168183107255165,0.42272653492637896
pipeline_b_frozen_replay,2022-11-30,2022-12-30,-0.04263890538574239,-0.053071265777026116,0.010432360391283736,0.9984589400913793,0.23519125118808434
rolling_48m_replay,2020-12-31,2021-01-29,0.031946233699703966,-0.007024639265434033,0.038970872965137994,0.7345192693865297,0.3637955175470281
rolling_48m_replay,2021-01-29,2021-02-26,-0.010783458630694548,0.004417940487504436,-0.01520139911819899,0.6066269569495174,0.334785692594967
rolling_48m_replay,2021-02-26,2021-03-31,-0.004910953333291882,-0.023432789925359965,0.018521836592068082,0.7374267195040881,0.3044049521713914
rolling_48m_replay,2021-03-31,2021-04-30,0.062035080359774813,0.03691116274268273,0.02512391761709208,0.5972597761868205,0.40929714085119534
rolling_48m_replay,2021-04-30,2021-05-31,0.019711901569039045,0.03698310847430185,-0.017271206905262806,0.548522453581632,0.3967432086700014
rolling_48m_replay,2021-05-31,2021-06-30,0.05400512731151497,0.025744479342825314,0.02826064796868965,0.5761013606677894,0.39974383123765045
rolling_48m_replay,2021-06-30,2021-07-30,-0.014424987965870481,-0.0043044468619221985,-0.010120541103948283,0.7306631034910366,0.3532780234516866
rolling_48m_replay,2021-07-30,2021-08-31,0.07816091157099947,0.07530297726621682,0.0028579343047826656,0.65599237409348,0.513989845973873
rolling_48m_replay,2021-08-31,2021-09-30,-0.008485076741333988,-0.024650628510440704,0.016165551769106713,0.7759531746445733,0.3507536696793789
rolling_48m_replay,2021-09-30,2021-10-29,-0.03630196414771206,-0.023432978809232067,-0.01286898533847999,0.8189731844907193,0.25718689383839294
rolling_48m_replay,2021-10-29,2021-11-30,0.044092479110697344,0.03596149591963681,0.00813098319106054,0.6389887997471978,0.49386463217383164
rolling_48m_replay,2021-11-30,2021-12-31,0.0056013339950078565,0.011836133523166913,-0.006234799528159056,0.578365461921166,0.3421706364258939
rolling_48m_replay,2021-12-31,2022-01-28,-0.09553971331737005,-0.10920168726366661,0.01366197394629655,0.9900703529348328,0.12343611837363756
