run_id,comparison,metric,old_value,new_value,diff
rebuild_03,rebuild_03_vs_rebuild_01,annualized_vol,0.17090127127806023,0.17090127127806023,0.0
rebuild_03,rebuild_03_vs_rebuild_01,benchmark_return,-0.03495231761835815,-0.03495231761835815,0.0
rebuild_03,rebuild_03_vs_rebuild_01,calmar_ratio,-0.017237020636981355,-0.017237020636981355,0.0
rebuild_03,rebuild_03_vs_rebuild_01,excess_max_drawdown,-0.07960109095500449,-0.07960109095500449,0.0
rebuild_03,rebuild_03_vs_rebuild_01,excess_return,0.02991966233715837,0.02991966233715837,0.0
rebuild_03,rebuild_03_vs_rebuild_01,information_ratio,0.5026766305225774,0.5026766305225774,0.0
rebuild_03,rebuild_03_vs_rebuild_01,max_drawdown,-0.29196781666562593,-0.29196781666562593,0.0
rebuild_03,rebuild_03_vs_rebuild_01,monthly_win_rate,0.4782608695652174,0.4782608695652174,0.0
rebuild_03,rebuild_03_vs_rebuild_01,sharpe,-0.0608206292919042,-0.0608206292919042,0.0
rebuild_03,rebuild_03_vs_rebuild_01,tracking_error,0.05952069485715737,0.05952069485715737,0.0
