source_id,period,n,ic_mean,ic_std,ic_ir,positive_count,positive_rate,t_stat,p_value
expanding_ridge,all_common_fwd,105,0.09422587409633892,0.11234361255520767,0.8387292517412562,83,0.7904761904761904,8.594417348562786,9.094280891657101e-14
expanding_ridge,train,82,0.10365595193384779,0.11550950941708499,0.8973802456347032,68,0.8292682926829268,8.126123739578597,4.238546874057119e-12
expanding_ridge,valid,23,0.060605596588698664,0.0950037072828798,0.6379287537510668,15,0.6521739130434783,3.0593988268669636,0.005744427568465871
expanding_ridge,2021,12,0.05595118841294896,0.0819104571237861,0.6830774772553578,8,0.6666666666666666,2.3662497922245076,0.037398808883583386
expanding_ridge,2022,11,0.0656831327804256,0.11145375121508545,0.5893308396024205,7,0.6363636363636364,1.9545892723463496,0.07914363569623804
ic_ir,all_common_fwd,131,0.09245212945719289,0.11149405826379231,0.8292112682673486,102,0.7786259541984732,9.49075676077637,1.4886085121422805e-16
ic_ir,train,108,0.10211396052359362,0.11144137700630297,0.9163020349059237,88,0.8148148148148148,9.522490077214865,6.154055156907428e-16
ic_ir,valid,23,0.047083531406267795,0.10219075535174127,0.46074159295726863,14,0.6086956521739131,2.2096390556057863,0.037841120278062634
ic_ir,2021,12,0.03424906997757787,0.08142121374129745,0.42064062182122064,7,0.5833333333333334,1.4571418574434398,0.17302480684121999
ic_ir,2022,11,0.06108476205574771,0.12356710572359764,0.49434484766832526,7,0.6363636363636364,1.6395563767612313,0.1321343196357786
rolling_48m,all_common_fwd,105,0.08628162459205277,0.1071817159985914,0.8050032021617073,85,0.8095238095238095,8.248828178990836,5.252161746364222e-13
rolling_48m,train,82,0.1013576985726809,0.11056359919921026,0.9167366050562226,70,0.8536585365853658,8.30140302901267,1.911136984182878e-12
rolling_48m,valid,23,0.03253214344372646,0.07369774491646516,0.4414265793424338,15,0.6521739130434783,2.117007504438547,0.04580176628546313
rolling_48m,2021,12,0.022822510159793908,0.0758257304696794,0.30098635408359165,6,0.5,1.042647315315394,0.31948511490012815
rolling_48m,2022,11,0.043124470662561955,0.0734025999648553,0.5875060377045183,9,0.8181818181818182,1.9485370891342797,0.07994198167744754
