source_id,rebalance_date,period,top50_retention,top50_turnover,rank_corr_vs_prev
ic_ir,2012-01-31,train,,,
ic_ir,2012-02-29,train,0.7,0.30000000000000004,0.919953132149548
ic_ir,2012-03-30,train,0.58,0.42000000000000004,0.8494772656056772
ic_ir,2012-04-27,train,0.46,0.54,0.6570362000161961
ic_ir,2012-05-31,train,0.7,0.30000000000000004,0.9038863659891095
ic_ir,2012-06-29,train,0.76,0.24,0.9419782365545579
ic_ir,2012-07-31,train,0.56,0.43999999999999995,0.911365862711279
ic_ir,2012-08-31,train,0.52,0.48,0.7379387111282685
ic_ir,2012-09-28,train,0.8,0.19999999999999996,0.9475110645300778
ic_ir,2012-10-31,train,0.58,0.42000000000000004,0.7938381085590303
ic_ir,2012-11-30,train,0.76,0.24,0.9463739005640059
ic_ir,2012-12-31,train,0.74,0.26,0.9473872851010084
ic_ir,2013-01-31,train,0.72,0.28,0.9356166777825614
ic_ir,2013-02-28,train,0.54,0.45999999999999996,0.874549163782592
ic_ir,2013-03-29,train,0.58,0.42000000000000004,0.8123596371952446
ic_ir,2013-04-26,train,0.4,0.6,0.5660121556582461
ic_ir,2013-05-31,train,0.66,0.33999999999999997,0.8105987727555304
ic_ir,2013-06-28,train,0.68,0.31999999999999995,0.9094291022471365
ic_ir,2013-07-31,train,0.54,0.45999999999999996,0.8755027984968291
ic_ir,2013-08-30,train,0.48,0.52,0.6843336594253613
ic_ir,2013-09-30,train,0.7,0.30000000000000004,0.9168520589404734
ic_ir,2013-10-31,train,0.6,0.4,0.77241869120146
ic_ir,2013-11-29,train,0.8,0.19999999999999996,0.9124321347208199
ic_ir,2013-12-31,train,0.68,0.31999999999999995,0.9000063824638668
ic_ir,2014-01-30,train,0.78,0.21999999999999997,0.9180703385889787
ic_ir,2014-02-28,train,0.74,0.26,0.8778190288756558
ic_ir,2014-03-31,train,0.56,0.43999999999999995,0.8250692979994246
ic_ir,2014-04-30,train,0.3,0.7,0.5141935350168853
ic_ir,2014-05-30,train,0.78,0.21999999999999997,0.9194706798447172
ic_ir,2014-06-30,train,0.62,0.38,0.8985238076594302
ic_ir,2014-07-31,train,0.7,0.30000000000000004,0.8609744916686685
ic_ir,2014-08-29,train,0.58,0.42000000000000004,0.7064598941126177
ic_ir,2014-09-30,train,0.74,0.26,0.8491567434865223
ic_ir,2014-10-31,train,0.6,0.4,0.7590954441131794
ic_ir,2014-11-28,train,0.7,0.30000000000000004,0.8290747154439743
ic_ir,2014-12-31,train,0.5,0.5,0.8116961200388412
ic_ir,2015-01-30,train,0.56,0.43999999999999995,0.8068159273075247
ic_ir,2015-02-27,train,0.52,0.48,0.82265621300745
ic_ir,2015-03-31,train,0.52,0.48,0.737351020304803
ic_ir,2015-04-30,train,0.34,0.6599999999999999,0.5986070819239631
ic_ir,2015-05-29,train,0.62,0.38,0.8256466115588019
ic_ir,2015-06-30,train,0.52,0.48,0.7866374988402542
ic_ir,2015-07-31,train,0.5,0.5,0.6605499552261485
ic_ir,2015-08-31,train,0.5,0.5,0.6564687122093832
ic_ir,2015-09-30,train,0.7,0.30000000000000004,0.806932180867901
ic_ir,2015-10-30,train,0.6,0.4,0.8454545607177876
ic_ir,2015-11-30,train,0.58,0.42000000000000004,0.8468033102423067
ic_ir,2015-12-31,train,0.58,0.42000000000000004,0.788297526368407
ic_ir,2016-01-29,train,0.62,0.38,0.8051129482546294
ic_ir,2016-02-29,train,0.68,0.31999999999999995,0.9066255995887729
ic_ir,2016-03-31,train,0.66,0.33999999999999997,0.8297459160072199
ic_ir,2016-04-29,train,0.5,0.5,0.6977443812073689
ic_ir,2016-05-31,train,0.68,0.31999999999999995,0.8134502749958052
ic_ir,2016-06-30,train,0.68,0.31999999999999995,0.8675488354338808
ic_ir,2016-07-29,train,0.68,0.31999999999999995,0.8522673573193206
ic_ir,2016-08-31,train,0.46,0.54,0.675775791914333
ic_ir,2016-09-30,train,0.64,0.36,0.8022661059673105
ic_ir,2016-10-31,train,0.56,0.43999999999999995,0.7865894336119067
ic_ir,2016-11-30,train,0.66,0.33999999999999997,0.844275853957322
ic_ir,2016-12-30,train,0.52,0.48,0.8258245671866905
ic_ir,2017-01-26,train,0.7,0.30000000000000004,0.9121243257128177
ic_ir,2017-02-28,train,0.66,0.33999999999999997,0.9099321267358892
ic_ir,2017-03-31,train,0.56,0.43999999999999995,0.7694923851333518
ic_ir,2017-04-28,train,0.34,0.6599999999999999,0.5206310088249394
ic_ir,2017-05-31,train,0.6,0.4,0.8302702941155978
ic_ir,2017-06-30,train,0.64,0.36,0.9320390217598924
ic_ir,2017-07-31,train,0.66,0.33999999999999997,0.8708527398184787
ic_ir,2017-08-31,train,0.48,0.52,0.751989083159089
ic_ir,2017-09-29,train,0.74,0.26,0.9162366065132465
ic_ir,2017-10-31,train,0.38,0.62,0.7516772842843492
ic_ir,2017-11-30,train,0.62,0.38,0.9020938272233099
ic_ir,2017-12-29,train,0.52,0.48,0.8913108977101304
ic_ir,2018-01-31,train,0.58,0.42000000000000004,0.9013035650986072
ic_ir,2018-02-28,train,0.7,0.30000000000000004,0.9322816291672674
ic_ir,2018-03-30,train,0.54,0.45999999999999996,0.833526420070516
