source_id,rebalance_date,period,target_weight_l1_turnover,active_names,top10_weight_sum,top50_weight_sum
expanding_ridge,2011-08-23,train,,500,0.021075222119946856,0.10339773890295095
expanding_ridge,2011-08-24,train,5.146773094516499e-10,500,0.021075222105485437,0.10339773884862911
expanding_ridge,2011-08-25,train,4.4502878378954724e-10,500,0.02107522209190697,0.10339773879480757
expanding_ridge,2011-08-26,train,3.558621990834565e-10,500,0.021075222076998353,0.10339773874751298
expanding_ridge,2011-08-29,train,4.2658902625614115e-10,500,0.0210752220634363,0.10339773870777927
expanding_ridge,2011-08-30,train,4.0218143463992273e-10,500,0.02107522205316045,0.10339773867732656
expanding_ridge,2011-08-31,train,3.4923593530966635e-10,500,0.021075222042331167,0.1033977386457644
expanding_ridge,2011-09-01,train,4.0601520409633274e-10,500,0.02107522203383401,0.10339773861444261
expanding_ridge,2011-09-30,train,9.75712991088326e-10,500,0.02107522202188193,0.10339773856746197
expanding_ridge,2011-10-31,train,1.5174365915280458e-09,500,0.02107522199999949,0.10339773845724683
expanding_ridge,2011-11-30,train,1.97889564045213e-09,500,0.02107522197500702,0.10339773832236332
expanding_ridge,2011-12-30,train,2.1937376448819684e-09,500,0.021075221946150816,0.10339773818042343
expanding_ridge,2012-01-31,train,0.1989345551238012,499,0.02276073604670887,0.11186531936723176
expanding_ridge,2012-02-29,train,0.004249058944649843,500,0.022804034980144487,0.11209439781465737
expanding_ridge,2012-03-30,train,0.00839391466403961,500,0.022891923798130365,0.11253504555220109
expanding_ridge,2012-04-27,train,3.4034544712407185e-10,500,0.02289192380033536,0.11253504555984037
expanding_ridge,2012-05-31,train,3.8346742877685015e-10,500,0.022891923803953395,0.11253504556820312
expanding_ridge,2012-06-29,train,4.041446501052261e-10,500,0.02289192380658379,0.11253504557368896
expanding_ridge,2012-07-31,train,0.20666874549436615,500,0.024375719113127265,0.12011841096810957
expanding_ridge,2012-08-31,train,3.042460562999172e-09,500,0.024375719107685424,0.12011841089135729
expanding_ridge,2012-09-28,train,3.0613935461101457e-09,500,0.024375719103799674,0.12011841082972442
expanding_ridge,2012-10-31,train,3.6496561637644823e-09,500,0.024375719087383594,0.1201184107133394
expanding_ridge,2012-11-30,train,3.3703761231559937e-09,500,0.0243757190739944,0.12011841060921415
expanding_ridge,2012-12-31,train,2.8201772770374e-09,500,0.024375719070190007,0.12011841054720103
expanding_ridge,2013-01-31,train,0.19865161074676452,499,0.025881040459660207,0.12756172122323312
expanding_ridge,2013-02-28,train,0.00662007497745587,500,0.026333524313804545,0.1287282488658668
expanding_ridge,2013-03-29,train,0.01605848767622023,500,0.02810804021168631,0.13213998816435119
expanding_ridge,2013-04-26,train,0.004960776949295607,500,0.028169074900914224,0.13242759627664316
expanding_ridge,2013-05-31,train,2.824828431404109e-10,500,0.028169074900981115,0.13242759627563722
expanding_ridge,2013-06-28,train,0.009777701824836183,500,0.029246592193858893,0.13474026858799978
expanding_ridge,2013-07-31,train,0.22115828143640515,499,0.030516424901184912,0.14112259941964928
expanding_ridge,2013-08-30,train,4.512570873686389e-09,499,0.03051642473706134,0.14112259887013842
expanding_ridge,2013-09-30,train,0.0032081297775886806,499,0.03046536070194769,0.1410932368598749
expanding_ridge,2013-10-31,train,3.301140245532081e-09,500,0.030465360690680773,0.14109323693348788
expanding_ridge,2013-11-29,train,1.2782918067318147e-08,500,0.030465360825059944,0.1410932377785544
expanding_ridge,2013-12-31,train,0.20488253977262466,499,0.031482308084848955,0.1464611761778441
expanding_ridge,2014-01-30,train,2.2818385520725818e-10,499,0.031482308088558515,0.14646117619562954
expanding_ridge,2014-02-28,train,4.6052984156412e-09,500,0.031482308131194646,0.14646117648058632
expanding_ridge,2014-03-31,train,1.7222019473285024,94,0.18918823983652588,0.8650654659692626
