source_id,primary,note,nav_path,metrics_path,strategy_col,benchmark_col,start_date,end_date,n_daily_obs,first_strategy_nav,first_benchmark_nav,last_strategy_nav,last_benchmark_nav,annualized_return,benchmark_return,excess_return,tracking_error,information_ratio,max_drawdown,excess_max_drawdown,monthly_win_rate,monthly_obs,monthly_positive_count,monthly_negative_count,monthly_zero_count,monthly_pos_mean,monthly_neg_mean,monthly_pos_sum,monthly_neg_sum,monthly_net_excess_sum,positive_contribution_ratio,max_positive_month,max_positive_month_excess,max_negative_month,max_negative_month_excess,stored_annualized_return,diff_annualized_return,stored_benchmark_return,diff_benchmark_return,stored_excess_return,diff_excess_return,stored_tracking_error,diff_tracking_error,stored_information_ratio,diff_information_ratio,stored_excess_max_drawdown,diff_excess_max_drawdown,stored_monthly_win_rate,diff_monthly_win_rate,error
pipeline_b_ridge_expanding_lam0050,True,Pipeline B existing validation NAV,experiments/turnover_lambda_grid/results/lam_0050/backtest_nav_valid.parquet,experiments/turnover_lambda_grid/results/lam_0050/backtest_metrics_valid.parquet,strategy,benchmark,2021-01-04,2022-12-30,485,1.0109157312568051,1.0,0.9968746343721332,0.9338185949428504,-0.007241047722549854,-0.03495231761835815,0.0277112698958083,0.0573147230991946,0.4834930432770023,-0.28409790127020357,-0.03976882921316996,0.391304347826087,23,9,14,0,0.017547304555858227,-0.008714906190672642,0.15792574100272405,-0.122008686669417,0.03591705433330705,4.396956931300304,2021-03-31,0.028815769877695963,2021-05-31,-0.02336046284205895,-0.007241047722549854,0.0,-0.03495231761835815,0.0,0.0277112698958083,0.0,0.0573147230991946,0.0,0.4834930432770023,0.0,-0.03976882921316996,0.0,0.391304347826087,0.0,
rolling_48m,True,Pipeline E rolling-48m existing validation NAV,experiments/ridge_rolling/results/rolling_48m/backtest_nav_valid.parquet,experiments/ridge_rolling/results/rolling_48m/backtest_metrics_valid.parquet,strategy,benchmark,2021-01-04,2022-12-30,485,1.0123068663428603,1.0,1.0648848331936647,0.9338185949428504,0.02665841316937989,-0.03495231761835815,0.061610730787738044,0.05643389207908198,1.0917327959836909,-0.28825766044502604,-0.04379411295954473,0.6086956521739131,23,14,9,0,0.013958073010713603,-0.013012227299493842,0.19541302214999046,-0.11711004569544459,0.07830297645454587,2.4956014572884833,2021-06-30,0.03724840659865247,2022-10-31,-0.023828317199330318,0.02665841316937989,0.0,-0.03495231761835815,0.0,0.061610730787738044,0.0,0.05643389207908198,0.0,1.0917327959836909,0.0,-0.04379411295954473,0.0,0.6086956521739131,0.0,
pipeline_a_strategy_v1,False,Pipeline A auxiliary strategy column,data/processed/backtest_nav.parquet,data/processed/backtest_metrics.parquet,strategy_v1,benchmark,2021-01-04,2022-12-30,485,1.0078849783464823,1.0,0.9266292778099778,0.9338185949428504,-0.04273434538062004,-0.03495231761835815,-0.007782027762261889,0.07065786315058356,-0.11013675499465791,-0.30249599904374325,-0.080799745428824,0.5217391304347826,23,12,11,0,0.012758679849464235,-0.01609070204990565,0.15310415819357082,-0.17699772254896218,-0.02389356435539136,-6.407757164913082,2021-06-30,0.027492937136000872,2022-06-30,-0.037276004810786745,-0.04273434538062004,0.0,-0.03495231761835815,0.0,-0.007782027762261889,0.0,0.07065786315058356,0.0,-0.11013675499465791,0.0,-0.080799745428824,0.0,0.5217391304347826,0.0,
pipeline_a_strategy_v2,True,Pipeline A processed NAV; primary is strategy_v2 when present,data/processed/backtest_nav.parquet,data/processed/backtest_metrics.parquet,strategy_v2,benchmark,2021-01-04,2022-12-30,485,1.0112180386560317,1.0,0.9828393353232799,0.9338185949428504,-0.014681327746439488,-0.03495231761835815,0.020270989871918665,0.059376709058309995,0.3413963184118515,-0.31050829764271215,-0.06913277957711046,0.5652173913043478,23,13,10,0,0.012671335687733794,-0.014362195930337806,0.16472736394053933,-0.14362195930337807,0.021105404637161262,7.8049848734241385,2021-03-31,0.031007990512746164,2021-10-31,-0.03206585045179078,-0.014681327746439488,0.0,-0.03495231761835815,0.0,0.020270989871918665,0.0,0.059376709058309995,0.0,0.3413963184118515,0.0,-0.06913277957711046,0.0,0.5652173913043478,0.0,
