source_id,rebalance_date,period,n_columns,n_non_nan,nan_rate,universe_count,valid_universe_overlap_count,valid_universe_overlap_ratio,nonuniverse_valid_count,mean,std,skew,kurt,min,max,p01,p99
ic_ir,2012-01-31,train,1329,477,0.6410835214446953,500,477,0.954,0,-9.310046328093556e-18,0.9999999999999999,-0.3322362736149619,0.2957091869024544,-2.9322953960620923,3.0461997881304934,-2.8950205140950263,2.185062653616403
ic_ir,2012-02-29,train,1329,480,0.6388261851015802,500,480,0.96,0,7.401486830834377e-18,1.0,-0.3505405095086951,0.3621968946238976,-2.940781733755202,2.9735791017387587,-2.8817484224233993,2.234076671470634
ic_ir,2012-03-30,train,1329,467,0.6486079759217457,500,467,0.934,0,2.2822571812422918e-17,1.0,-0.35283051731888276,0.27044748441112176,-2.795503717497913,2.3660607300363816,-2.795503717497913,2.052411938235683
ic_ir,2012-04-27,train,1329,441,0.6681715575620768,500,441,0.882,0,3.222416035193198e-17,1.0,-0.13082643962572119,0.127577928999425,-2.7630017209526447,2.839485282081043,-2.7152788056788775,2.1954657498825205
ic_ir,2012-05-31,train,1329,474,0.6433408577878104,500,474,0.948,0,-2.2485529612661398e-17,0.9999999999999999,-0.29573877243191943,0.11273520579681273,-2.654987244772952,2.7820315978009726,-2.5843583852736582,2.0651393526426576
ic_ir,2012-06-29,train,1329,471,0.6455981941309256,500,471,0.942,0,-1.1314374773250004e-17,1.0,-0.2879109013815998,0.13267068946335714,-2.7650943569850033,2.8207507223222184,-2.5048659086003404,2.0822881750345448
ic_ir,2012-07-31,train,1329,496,0.6267870579382995,500,496,0.992,0,-1.7906822977825105e-17,1.0,-0.29334142251865536,0.19311989413929398,-2.711121890322066,2.732021546022178,-2.5480205574965114,2.2490636094543275
ic_ir,2012-08-31,train,1329,492,0.6297968397291196,500,492,0.984,0,-1.4441925523579274e-17,1.0,-0.2195495257514022,0.41311532129287176,-2.8378055347006987,2.844294319516739,-2.8378055347006987,2.288626137592085
ic_ir,2012-09-28,train,1329,491,0.6305492851768246,500,491,0.982,0,1.4471338813851326e-17,1.0,-0.25818624554221836,0.31849471837045673,-2.7705766640946194,2.772978157148294,-2.7705766640946194,2.2945794375377755
ic_ir,2012-10-31,train,1329,491,0.6305492851768246,500,491,0.982,0,-2.170700822077699e-17,1.0,-0.3080916646426417,-0.01688966866529329,-2.6583802291276926,2.3270763118489564,-2.6583802291276926,2.203490009356828
ic_ir,2012-11-30,train,1329,486,0.6343115124153499,500,486,0.972,0,-5.1170773151447546e-17,1.0,-0.26037912738243574,0.04652018716213746,-2.7607272190824728,2.5576230516672074,-2.7063608779366497,2.1943074052068496
ic_ir,2012-12-31,train,1329,484,0.63581640331076,500,484,0.968,0,7.340317518182853e-18,1.0,-0.3292314186501423,0.055070298148582886,-2.7140810239640327,2.816797220917883,-2.7140810239640327,2.0159577784049434
ic_ir,2013-01-31,train,1329,486,0.6343115124153499,500,486,0.972,0,-7.310110450206793e-18,1.0,-0.36916481145884317,0.11970822180154084,-2.7444847160056853,2.4709557824633337,-2.7444847160056853,2.014439506024586
ic_ir,2013-02-28,train,1329,491,0.6305492851768246,500,491,0.982,0,-2.894267762770265e-17,0.9999999999999999,-0.2928383327083215,0.3081186486893923,-2.6797254188643405,2.7812708924511083,-2.6797254188643405,2.2267121965177594
ic_ir,2013-03-29,train,1329,489,0.6320541760722348,500,489,0.978,0,-3.6326315734156455e-18,0.9999999999999999,-0.20011554875283902,0.3686851265511861,-2.741796912277945,2.7659460246104266,-2.741796912277945,2.406234375394722
ic_ir,2013-04-26,train,1329,492,0.6297968397291196,500,492,0.984,0,2.166288828536891e-17,1.0,-0.17920599804318893,-0.1578578166195066,-2.755772996172417,2.464186939819413,-2.397786090558097,2.1116875908106296
ic_ir,2013-05-31,train,1329,485,0.6350639578630549,500,485,0.97,0,-1.8312957107219077e-17,1.0,-0.2401428102002828,0.19286192511791622,-2.8041862280727177,2.718787753971539,-2.6658251231692116,2.2819671917576434
ic_ir,2013-06-28,train,1329,482,0.63732129420617,500,482,0.964,0,0.0,1.0,-0.3597875747283873,0.21042860865856472,-2.8653935847307905,2.6262817110378793,-2.8345939345149533,2.064705625577125
ic_ir,2013-07-31,train,1329,487,0.6335590669676449,500,487,0.974,0,1.0942649934703802e-17,0.9999999999999999,-0.19802511698778275,0.15373936565065893,-2.922654972631273,2.6204547110409475,-2.71677960897837,2.291511602867604
ic_ir,2013-08-30,train,1329,487,0.6335590669676449,500,487,0.974,0,1.4590199912938403e-17,1.0,-0.08974520260800951,-0.012443982078055082,-2.995100154995122,2.9066201268821987,-2.338416605722344,2.1729356480782993
ic_ir,2013-09-30,train,1329,484,0.63581640331076,500,484,0.968,0,-1.4680635036365707e-17,0.9999999999999999,-0.1104980876103865,-0.0056356578154477255,-2.96496975321383,2.860891526235175,-2.4166382344648567,2.1179646038708353
ic_ir,2013-10-31,train,1329,486,0.6343115124153499,500,486,0.972,0,2.924044180082717e-17,1.0,-0.19560655984614034,-0.06395548810227503,-2.8974700574970313,2.96596297797794,-2.3353554914447696,2.053272938700336
ic_ir,2013-11-29,train,1329,485,0.6350639578630549,500,485,0.97,0,-2.563813995010671e-17,0.9999999999999999,-0.1223090193262081,-0.08241523440806509,-2.957806627401668,3.015866873593524,-2.4204489265137723,2.1103720357061837
ic_ir,2013-12-31,train,1329,490,0.6313017306245298,500,490,0.98,0,1.9032394707859827e-17,1.0,0.06939957415930978,-0.0009391493555224173,-2.8567745353037717,2.9261089132587017,-2.4134847537913178,2.4326841473746406
ic_ir,2014-01-30,train,1329,489,0.6320541760722348,500,489,0.978,0,3.6326315734156453e-17,1.0,-0.03537955207282316,0.130977795175943,-2.9948097112816194,3.0707791867163023,-2.533779178756078,2.2592832126128553
ic_ir,2014-02-28,train,1329,482,0.63732129420617,500,482,0.964,0,2.85617541604812e-17,1.0,-0.04564729741927643,0.16241549253279164,-3.1413084291866906,3.1775458508609646,-2.422518849482191,2.195105894539675
ic_ir,2014-03-31,train,1329,474,0.6433408577878104,500,474,0.948,0,2.8106912015826747e-18,1.0,-0.17677344342460397,-0.0758702893129155,-2.9433183156097438,3.0447249223821586,-2.50068492588815,1.9404579863138038
ic_ir,2014-04-30,train,1329,472,0.6448457486832204,500,472,0.944,0,3.7634678800852764e-18,1.0,-0.2040526938761489,0.1576190217486606,-2.6956847735610583,2.8275886708828586,-2.4914512158315825,2.332200305385753
ic_ir,2014-05-30,train,1329,472,0.6448457486832204,500,472,0.944,0,-2.822600910063957e-17,1.0,-0.3034329577757359,0.17675595236863328,-2.6965969994143957,2.8898930749164364,-2.6469799276101065,2.105747745529931
ic_ir,2014-06-30,train,1329,478,0.6403310759969902,500,478,0.956,0,3.7162276974900634e-18,0.9999999999999999,-0.271069807149953,0.3145073405678027,-2.746605800280813,2.94682478438869,-2.746605800280813,2.388279187619938
ic_ir,2014-07-31,train,1329,480,0.6388261851015802,500,480,0.96,0,0.0,1.0,-0.17172779431228688,0.08942570362788382,-2.889644930450207,3.0205707108279167,-2.3569608156178923,2.3330102041062735
ic_ir,2014-08-29,train,1329,477,0.6410835214446953,500,477,0.954,0,-4.468822237484907e-17,1.0,-0.20229138949139805,0.05695840902914284,-2.745280843549056,2.7765001325874765,-2.745280843549056,2.1315684030543203
ic_ir,2014-09-30,train,1329,473,0.6440933032355154,500,473,0.946,0,5.633266932558934e-18,0.9999999999999999,-0.08389388122531397,0.07080704785246716,-2.8795042651776117,2.9056821204192778,-2.6164421037892645,2.2081618385610455
ic_ir,2014-10-31,train,1329,465,0.6501128668171557,500,465,0.93,0,-4.775152794086695e-19,1.0,-0.2532873362003292,0.040081697702848196,-2.9041965738176616,2.7745174793822165,-2.6518251284337486,1.984618650827906
ic_ir,2014-11-28,train,1329,460,0.653875094055681,500,460,0.92,0,2.703151712130816e-17,0.9999999999999999,-0.2083544336867426,-0.03994512525483884,-2.8381122284914997,2.3730781513623787,-2.4580408424184843,2.1461418586859797
