rebalance_date,非流动性(Amihud),分析师EPS修正,现金流收益率,市盈率倒数(EP),毛利率,毛利率趋势,52周相对高点,北向持仓变化,北向持仓比例,股东数变化,特质波动率,Piotroski F分,单季ROE,营收加速度,营收同比,ROE变化(1Q),ROE变化(3Q),换手率(20日)
2014-03-31,0.0008092579951213049,0.0007812986027183404,0.00011311209002270503,-0.00015564373602215548,0.0014160864559290647,0.0013372747891535384,0.002387878256474653,0.0,0.0,0.00037678502120212413,-0.0014899260366944788,0.00022100400413682759,0.0010213841610909663,0.0009003850121855956,0.000745626896715356,0.0008508924281882153,-0.00039176293770625426,-0.0020683765457916977
2014-04-30,0.0008042751613077185,0.0005885701617936339,0.00012579122236277133,6.296261990326548e-05,0.001246088553164093,0.0014215998611349717,0.002219789617477609,0.0,0.0,0.0005043449152143356,-0.001644738262332166,0.000261244832728049,0.0008316904588164051,0.0009179369044929346,0.0008786438708614576,0.0010219894469193724,-0.00036911060676646755,-0.0026766995751881556
2014-05-30,0.0008042751613077185,0.0005885701617936339,0.00012579122236277133,6.296261990326548e-05,0.001246088553164093,0.0014215998611349717,0.002219789617477609,0.0,0.0,0.0005043449152143356,-0.001644738262332166,0.000261244832728049,0.0008316904588164051,0.0009179369044929346,0.0008786438708614576,0.0010219894469193724,-0.00036911060676646755,-0.0026766995751881556
2014-06-30,0.0007708856205944554,0.0008076047630354551,0.0002460898187170012,-0.00020256155431247851,0.0011706362858065836,0.0010786705791792396,0.002147817907408489,0.0,0.0,0.0006376795178181473,-0.0017167740232828272,0.00036829194604226284,0.0008188349812178629,0.001173076700666254,0.0009360065066133917,0.0009307032615299827,-0.00044903613179820873,-0.002630892364147405
2014-07-31,0.0010838706714656075,0.0009900799122330157,0.0003998603109817088,-0.0002985449772845706,0.0011940510437746686,0.0009312832648867819,0.0021166221436374256,0.0,0.0,0.0006446044353705498,-0.00181207599623775,0.00011071414582752934,0.0007924687937966427,0.0012009404772844196,0.0008833028852840362,0.0009802548434538292,-0.0005195334210772699,-0.002215481885326795
2014-08-29,0.0010838706714656075,0.0009900799122330157,0.0003998603109817088,-0.0002985449772845706,0.0011940510437746686,0.0009312832648867819,0.0021166221436374256,0.0,0.0,0.0006446044353705498,-0.00181207599623775,0.00011071414582752934,0.0007924687937966427,0.0012009404772844196,0.0008833028852840362,0.0009802548434538292,-0.0005195334210772699,-0.002215481885326795
2014-09-30,0.001033794914436333,0.000924933557402586,0.0003866851151144293,-0.00012715330568170553,0.0010600274897205235,0.0009729491475308636,0.0016801721209927655,0.0,0.0,0.0005367807706246416,-0.0021602943716060533,0.00016642424476411756,0.0007894095361042111,0.0009559814943613399,0.0008719224727563402,0.0009307565435166004,-0.0004185633913236012,-0.0023496996844303776
2014-10-31,0.0007244879209264679,0.0008234775847206705,0.00011171456193673368,-0.000335636969896276,0.0010694253941237902,0.0009226447258073386,0.0017169487357476772,0.0,0.0,0.0006133819403736397,-0.002370045119452755,0.0002981701547338377,0.0003076885460832374,0.0007491172149104947,0.0007762467458270778,0.001099797006528163,-0.0003094174252563312,-0.0023973922243377783
2014-11-28,0.0007244879209264679,0.0008234775847206705,0.00011171456193673368,-0.000335636969896276,0.0010694253941237902,0.0009226447258073386,0.0017169487357476772,0.0,0.0,0.0006133819403736397,-0.002370045119452755,0.0002981701547338377,0.0003076885460832374,0.0007491172149104947,0.0007762467458270778,0.001099797006528163,-0.0003094174252563312,-0.0023973922243377783
2014-12-31,0.000550224680520867,0.0007949539785563906,0.00015021042942652961,-0.0002959677389909937,0.000760527670854179,0.0009874433122882172,0.002042322019246805,0.0,0.0,0.0004259567479055455,-0.002642835004343079,0.00035726661553570934,0.00011812286929430248,0.000828345755086672,0.0006472186043080104,0.0011154769153854107,-0.0003671325272117523,-0.002277519844769258
2015-01-30,0.00048415678988241053,0.0010811835830133651,0.00035753784394447496,0.0002933238185382153,0.0004902287841636492,0.0008931849883510024,0.0024277237962472497,0.0,0.0,0.0005615356598391025,-0.0029146312701932146,0.0002781898316398796,3.793404896024317e-05,0.0006958189544416869,0.0005163471029474711,0.000838771533708594,-0.0002815214709907709,-0.0016725143005846981
2015-02-27,0.00048415678988241053,0.0010811835830133651,0.00035753784394447496,0.0002933238185382153,0.0004902287841636492,0.0008931849883510024,0.0024277237962472497,0.0,0.0,0.0005615356598391025,-0.0029146312701932146,0.0002781898316398796,3.793404896024317e-05,0.0006958189544416869,0.0005163471029474711,0.000838771533708594,-0.0002815214709907709,-0.0016725143005846981
2015-03-31,0.0010114740079119236,0.0012442981057451087,0.00038660072045828143,2.8149663956762777e-05,0.0008557467745965369,0.0007194627423309663,0.0017945263092562721,0.0,0.0,0.0003479240764338496,-0.002446575123241023,0.0001848259409291497,0.0005428812797331527,0.0005547805504678477,0.0009618908000640634,0.0010891164137973393,-0.00041271550343473435,-0.0019910912033651055
2015-04-30,0.0007816267121484895,0.001155565022157886,0.0006902382836988022,-0.0002133171485752717,0.0008187217130969085,0.0006727667040234252,0.0018335461962671032,0.0,0.0,4.797443236242724e-05,-0.0027030958697590703,5.293197909365302e-05,0.0005133508962650779,0.0005402921407043979,0.0011747406660526953,0.0011660005341725137,-0.000386277180978888,-0.0019517872163065727
2015-05-29,0.0007816267121484895,0.001155565022157886,0.0006902382836988022,-0.0002133171485752717,0.0008187217130969085,0.0006727667040234252,0.0018335461962671032,0.0,0.0,4.797443236242724e-05,-0.0027030958697590703,5.293197909365302e-05,0.0005133508962650779,0.0005402921407043979,0.0011747406660526953,0.0011660005341725137,-0.000386277180978888,-0.0019517872163065727
2015-06-30,0.0007343309798336582,0.0010723454554344303,0.0003261432132687118,-0.0004823438606441347,0.0008466828676349941,0.0007465956304630282,0.0018153873155189743,0.0,0.0,3.4621002925201794e-05,-0.0020707932393656983,0.00032018887197717493,0.0007034514618533392,0.000842967506897048,0.0010756358397263962,0.0012337525038098175,-0.0003638736716556329,-0.0030107829321684727
2015-07-31,0.0002326390631935337,0.0010657834085424395,0.0006036560829598562,-0.0002181623570611516,0.0005551146855869649,0.0006553517878918214,0.002026295821365744,0.0,0.0,-0.00013898917579318346,-0.0024283264791964323,0.00022104724952990063,0.000471306513916594,0.0008103004958465368,0.0010520231156604797,0.0014114709915972103,-0.0003291777327988374,-0.003131114423690606
2015-08-31,0.00029074579168152597,0.0011801000035906114,0.0005298976511439171,-1.1835859103310853e-05,0.0007286689481879099,0.0008249078761422921,0.0015946114879533436,0.0,0.0,-0.0001899109427553724,-0.002115789812727605,0.00015274656326652098,0.0008656416967181563,0.000817729749940074,0.0013093255854308033,0.0014770661448639645,-0.00037431978674232235,-0.003575279904757825
2015-09-30,0.00029074579168152597,0.0011801000035906114,0.0005298976511439171,-1.1835859103310853e-05,0.0007286689481879099,0.0008249078761422921,0.0015946114879533436,0.0,0.0,-0.0001899109427553724,-0.002115789812727605,0.00015274656326652098,0.0008656416967181563,0.000817729749940074,0.0013093255854308033,0.0014770661448639645,-0.00037431978674232235,-0.003575279904757825
2015-10-30,0.000182939164436693,0.0011287025947660943,0.0005347331811143003,-4.129423263828496e-06,0.000595515031424366,0.0007576274529410084,0.0017034639716462135,0.0,0.0,-0.00021137354178129463,-0.002391456036764599,0.00026271163376783845,0.0007599631915655268,0.0008253270638951104,0.0010154685397411715,0.0014813218565271785,-0.0003231999247878761,-0.003484982839217541
2015-11-30,-8.886714001543858e-05,0.0010550057652598973,0.0005258588721853882,-0.00023985778601990417,0.000815146512019202,0.0007431229932766402,0.0009378850520351783,0.0,0.0,-0.00020492755496567702,-0.002324714888724475,0.00030560198686781735,0.0008532833661965687,0.0006640129867006628,0.0012351073626089123,0.0016721922157055015,-0.0003100312571618844,-0.0034918776913944742
2015-12-31,-0.00017757583255824722,0.0010105195195989761,0.0004251980744767891,-0.0002603563256771784,0.0008849124324419397,0.0008492400421311572,0.0006809220291149501,0.0,0.0,-0.0004120007074775277,-0.0024069984260174267,0.00029586238819320526,0.0007097173588542833,0.0007750730834008187,0.001461476564885704,0.001665826506298206,-0.0005405969671579378,-0.003400653490012673
2016-01-29,-0.00017757583255824722,0.0010105195195989761,0.0004251980744767891,-0.0002603563256771784,0.0008849124324419397,0.0008492400421311572,0.0006809220291149501,0.0,0.0,-0.0004120007074775277,-0.0024069984260174267,0.00029586238819320526,0.0007097173588542833,0.0007750730834008187,0.001461476564885704,0.001665826506298206,-0.0005405969671579378,-0.003400653490012673
2016-02-29,-0.00047919111815159003,0.0010448258266286513,0.0004186846281024692,-0.00023241800881069666,0.0008295969936134239,0.000744285885230864,0.0008576277209482276,0.0,0.0,-0.0004374119975179234,-0.002443405725348579,0.0004326237774528537,0.0007224207374903219,0.000650516249069653,0.0012722306026631803,0.001680597954203666,-0.0004124704009011723,-0.0037747545617121516
2016-03-31,-0.0002630586108875134,0.0011505628161585341,0.0007803432248633796,-0.00016966174105121222,0.0007464075024151183,0.000837752039133662,0.0007406422365274385,0.0,0.0,-0.0003357811953553546,-0.0025457101347223393,0.000445005940602836,0.0009342692358115616,0.0005761607552611343,0.0013398321425306832,0.0016774687737439206,-0.00029131451074674615,-0.004059478543056775
2016-04-29,-0.00025758343492671956,0.0010783786899167189,0.0006776549685327374,-0.00024300837881487182,0.0009479089634743887,0.0008118300912535371,0.00041081916279985605,0.0,0.0,-0.0005626534284181373,-0.0025990395349012787,0.0005163026864750935,0.0007125710579267366,0.00046374855993969877,0.001399542301601714,0.001581023752434573,-0.00016907471634368133,-0.003554480315501842
